index, AverageDriveForce (lbs), Cadence (stokes/min), DriveLength (meters), DriveTime (ms), HRCur (bpm), Horizontal (meters), PeakDriveForce (lbs), Power (watts), Stroke500mPace (sec/500m), StrokeDistance (meters), StrokeRecoveryTime (ms), lapIdx,TimeStamp (sec)
225,0.0,22,2,516,151,2394,0.0,181,124.5,11,2179,0,1459270294.0
226,0.0,21,3,750,150,2405,0.0,179,125.0,11,2024,0,1459270297.0
227,0.0,22,3,680,150,2416,0.0,182,124.5,11,2102,0,1459270300.0
228,0.0,22,3,670,150,2427,0.0,184,124.0,11,2025,0,1459270303.0
229,0.0,22,3,678,149,2438,0.0,187,123.0,11,2094,0,1459270305.0
230,0.0,21,3,680,148,2449,0.0,184,124.0,12,2250,0,1459270308.0
231,0.0,21,3,670,149,2461,0.0,178,125.0,11,2024,0,1459270311.0
232,0.0,22,3,681,149,2472,0.0,181,124.5,11,2102,0,1459270314.0
233,0.0,22,3,672,148,2483,0.0,182,124.5,11,2054,0,1459270317.0
234,0.0,22,3,672,147,2494,0.0,178,125.5,11,2249,0,1459270319.0
235,0.0,21,3,672,147,2505,0.0,178,125.5,12,2250,0,1459270322.0
236,0.0,21,3,680,148,2517,0.0,174,126.5,11,2100,0,1459270325.0
237,0.0,21,3,672,148,2528,0.0,173,126.5,11,2172,0,1459270328.0
238,0.0,21,4,750,148,2539,0.0,182,124.5,12,2033,0,1459270331.0
239,0.0,22,2,672,148,2551,0.0,185,123.5,11,2102,0,1459270334.0
240,0.0,21,3,826,148,2562,0.0,191,122.5,11,2023,0,1459270336.0
241,0.0,22,4,750,148,2573,0.0,185,123.5,12,2024,0,1459270339.0
242,0.0,22,3,672,148,2585,0.0,184,124.0,11,2100,0,1459270342.0
243,0.0,21,3,680,147,2596,0.0,178,125.5,11,2172,0,1459270345.0
244,0.0,21,3,750,147,2607,0.0,175,126.0,11,2025,0,1459270348.0
245,0.0,22,3,680,147,2618,0.0,179,125.0,11,2092,0,1459270350.0
246,0.0,22,3,680,148,2629,0.0,183,124.0,12,2171,0,1459270353.0
247,0.0,21,3,751,149,2641,0.0,184,124.0,11,2023,0,1459270356.0
248,0.0,21,3,680,150,2652,0.0,181,124.5,11,2100,0,1459270359.0
249,0.0,22,3,688,151,2663,0.0,179,125.0,12,2164,0,1459270362.0
250,0.0,21,2,524,152,2675,0.0,181,124.5,10,2103,0,1459270364.0
251,0.0,22,3,672,152,2685,0.0,183,124.0,12,2248,0,1459270367.0
252,0.0,21,3,674,151,2697,0.0,187,123.0,11,2030,0,1459270370.0
253,0.0,22,3,672,151,2708,0.0,184,124.0,11,2101,0,1459270373.0
254,0.0,22,3,672,151,2719,0.0,191,122.5,11,2030,0,1459270375.0
255,0.0,22,3,672,151,2730,0.0,193,122.0,11,2102,0,1459270378.0
256,0.0,22,3,672,151,2741,0.0,185,123.5,11,2024,0,1459270381.0
257,0.0,22,4,758,151,2752,0.0,186,123.5,12,2172,0,1459270384.0
258,0.0,21,3,672,151,2764,0.0,180,125.0,11,2102,0,1459270386.0
259,0.0,22,3,680,152,2775,0.0,184,124.0,11,2021,0,1459270389.0
260,0.0,22,3,751,152,2786,0.0,176,126.0,11,2024,0,1459270392.0
261,0.0,22,3,680,152,2797,0.0,179,125.0,11,2093,0,1459270395.0
262,0.0,22,3,681,152,2808,0.0,182,124.5,11,2021,0,1459270398.0
263,0.0,22,3,672,152,2819,0.0,182,124.0,11,2103,0,1459270400.0
264,0.0,22,3,680,152,2830,0.0,185,123.5,11,2024,0,1459270403.0
265,0.0,22,3,669,153,2841,0.0,185,123.5,11,2103,0,1459270406.0
266,0.0,22,3,680,153,2852,0.0,181,124.5,12,2249,0,1459270408.0
267,0.0,22,3,525,154,2864,0.0,186,123.5,11,2022,0,1459270411.0
268,0.0,22,3,672,155,2875,0.0,189,123.0,11,2102,0,1459270414.0
269,0.0,22,3,679,155,2886,0.0,192,122.0,11,2025,0,1459270417.0
270,0.0,22,3,670,155,2897,0.0,190,122.5,11,2102,0,1459270419.0
271,0.0,22,3,672,155,2908,0.0,191,122.5,11,2032,0,1459270422.0
272,0.0,22,3,670,156,2919,0.0,192,122.0,12,2102,0,1459270425.0
273,0.0,22,3,672,156,2931,0.0,189,122.5,11,2032,0,1459270428.0
274,0.0,22,3,740,155,2942,0.0,189,122.5,11,2031,0,1459270430.0
275,0.0,22,3,673,154,2953,0.0,189,122.5,11,2101,0,1459270433.0
276,0.0,22,3,671,154,2964,0.0,193,122.0,11,2032,0,1459270436.0
277,0.0,22,3,674,153,2975,0.0,189,123.0,12,2100,0,1459270439.0
278,0.0,22,3,672,154,2987,0.0,187,123.5,11,2032,0,1459270441.0
279,0.0,23,3,671,154,2998,0.0,193,122.0,11,2101,0,1459270444.0
280,0.0,22,3,671,155,3009,0.0,188,123.0,11,2024,0,1459270447.0
281,0.0,22,3,750,155,3020,0.0,189,122.5,11,2032,0,1459270450.0
282,0.0,22,3,670,155,3031,0.0,191,122.5,12,2103,0,1459270452.0
283,0.0,22,2,672,156,3043,0.0,184,124.0,10,2032,0,1459270455.0
284,0.0,22,3,671,155,3053,0.0,183,124.0,12,2101,0,1459270458.0
285,0.0,22,3,672,154,3065,0.0,188,123.0,11,2249,0,1459270461.0
286,0.0,22,2,455,154,3076,0.0,187,123.5,11,2101,0,1459270464.0
287,0.0,22,3,671,154,3087,0.0,185,123.5,12,2251,0,1459270466.0
