Stroke count,Interval count,Drive length (m),Drive time (s),Stroke recovery time (s),Stroke distance (m),Peak drive force (kg,Avg. drive force (kg,Work per stroke (J),Stroke power (W),Stroke calories (cal/hr),Projected work time,Projected work distance,Time to peak (%),Plot
28,1,1.27,0.88,3.14,11.97,42.8,29.3,296,74,553,0:00,5349 m,48,13.0 - 27.0 - 27.0 - 41.0 - 52.0 - 52.0 - 57.0 - 57.0 - 64.0 - 70.0 - 70.0 - 70.0 - 70.0 - 76.0 - 76.0 - 76.0 - 83.0 - 81.0 - 81.0 - 89.0 - 89.0 - 89.0 - 90.0 - 90.0 - 90.0 - 94.0 - 90.0 - 87.0 - 87.0 - 87.0 - 85.0 - 85.0 - 89.0 - 80.0 - 78.0 - 78.0 - 79.0 - 80.0 - 77.0 - 77.0 - 75.0 - 72.0 - 67.0 - 62.0 - 62.0 - 55.0 - 48.0 - 41.0 - 41.0 - 31.0 - 23.0 - 16.0 - 10.0 - 10.0
29,1,1.18,0.82,3.03,12.47,44.6,28.7,316,76,562,0:00,5406 m,62,17.0 - 26.0 - 33.0 - 33.0 - 39.0 - 39.0 - 42.0 - 51.0 - 51.0 - 54.0 - 54.0 - 61.0 - 66.0 - 66.0 - 74.0 - 79.0 - 79.0 - 81.0 - 81.0 - 86.0 - 90.0 - 90.0 - 94.0 - 92.0 - 90.0 - 90.0 - 95.0 - 97.0 - 97.0 - 95.0 - 98.0 - 98.0 - 98.0 - 93.0 - 89.0 - 86.0 - 86.0 - 79.0 - 75.0 - 67.0 - 67.0 - 58.0 - 50.0 - 38.0 - 38.0 - 31.0 - 21.0 - 15.0 - 4.0 - 4.0
30,1,1.18,0.82,2.9,12.03,42.7,27.9,299,74,555,0:00,5363 m,51,19.0 - 35.0 - 35.0 - 44.0 - 49.0 - 49.0 - 51.0 - 51.0 - 54.0 - 60.0 - 60.0 - 66.0 - 66.0 - 71.0 - 77.0 - 77.0 - 80.0 - 87.0 - 87.0 - 86.0 - 87.0 - 87.0 - 93.0 - 90.0 - 90.0 - 94.0 - 86.0 - 86.0 - 86.0 - 90.0 - 87.0 - 87.0 - 80.0 - 78.0 - 76.0 - 76.0 - 72.0 - 69.0 - 65.0 - 65.0 - 57.0 - 52.0 - 40.0 - 40.0 - 37.0 - 29.0 - 23.0 - 10.0 - 10.0 - 7.0 - 0.0
31,1,1.21,0.83,2.84,11.68,43.7,29.7,291,74,555,0:00,5364 m,37,17.0 - 31.0 - 31.0 - 43.0 - 50.0 - 50.0 - 56.0 - 56.0 - 63.0 - 70.0 - 70.0 - 77.0 - 79.0 - 79.0 - 87.0 - 89.0 - 89.0 - 88.0 - 96.0 - 96.0 - 94.0 - 95.0 - 95.0 - 90.0 - 94.0 - 94.0 - 90.0 - 89.0 - 88.0 - 88.0 - 86.0 - 89.0 - 87.0 - 87.0 - 84.0 - 79.0 - 77.0 - 77.0 - 72.0 - 67.0 - 63.0 - 63.0 - 55.0 - 48.0 - 37.0 - 28.0 - 28.0 - 19.0 - 12.0 - 2.0 - 2.0
32,1,1.21,0.84,2.92,11.69,37.9,26.3,300,78,568,0:00,5444 m,60,22.0 - 31.0 - 31.0 - 39.0 - 44.0 - 44.0 - 45.0 - 54.0 - 54.0 - 52.0 - 52.0 - 60.0 - 61.0 - 61.0 - 68.0 - 72.0 - 72.0 - 74.0 - 75.0 - 75.0 - 77.0 - 80.0 - 80.0 - 78.0 - 80.0 - 80.0 - 79.0 - 76.0 - 76.0 - 82.0 - 83.0 - 81.0 - 81.0 - 78.0 - 78.0 - 78.0 - 78.0 - 77.0 - 72.0 - 64.0 - 64.0 - 59.0 - 50.0 - 45.0 - 45.0 - 37.0 - 31.0 - 19.0 - 13.0 - 13.0 - 7.0 - 0.0
33,1,1.18,0.86,3.05,11.75,36.5,24.5,290,73,551,0:00,5337 m,46,14.0 - 29.0 - 29.0 - 37.0 - 43.0 - 43.0 - 42.0 - 42.0 - 45.0 - 50.0 - 50.0 - 54.0 - 54.0 - 55.0 - 62.0 - 62.0 - 63.0 - 75.0 - 75.0 - 68.0 - 79.0 - 79.0 - 77.0 - 80.0 - 80.0 - 78.0 - 79.0 - 79.0 - 78.0 - 78.0 - 78.0 - 78.0 - 79.0 - 79.0 - 75.0 - 72.0 - 68.0 - 68.0 - 69.0 - 66.0 - 59.0 - 59.0 - 53.0 - 45.0 - 37.0 - 37.0 - 31.0 - 25.0 - 17.0 - 17.0 - 9.0 - 7.0
34,1,1.21,0.85,2.92,11.83,43,29,279,68,535,0:00,5231 m,42,23.0 - 35.0 - 35.0 - 40.0 - 44.0 - 44.0 - 50.0 - 50.0 - 58.0 - 58.0 - 66.0 - 69.0 - 69.0 - 76.0 - 80.0 - 80.0 - 81.0 - 81.0 - 85.0 - 88.0 - 88.0 - 94.0 - 92.0 - 92.0 - 93.0 - 92.0 - 88.0 - 88.0 - 92.0 - 92.0 - 92.0 - 87.0 - 87.0 - 85.0 - 85.0 - 82.0 - 79.0 - 75.0 - 75.0 - 68.0 - 64.0 - 59.0 - 59.0 - 51.0 - 46.0 - 37.0 - 37.0 - 30.0 - 23.0 - 13.0 - 13.0 - 8.0
35,1,1.21,0.84,2.7,11.76,41,28.6,292,74,555,0:00,5363 m,41,16.0 - 33.0 - 33.0 - 41.0 - 46.0 - 46.0 - 50.0 - 50.0 - 61.0 - 67.0 - 67.0 - 70.0 - 76.0 - 76.0 - 79.0 - 79.0 - 85.0 - 84.0 - 84.0 - 88.0 - 90.0 - 88.0 - 88.0 - 89.0 - 87.0 - 87.0 - 88.0 - 90.0 - 90.0 - 89.0 - 81.0 - 82.0 - 82.0 - 86.0 - 82.0 - 83.0 - 83.0 - 77.0 - 71.0 - 68.0 - 68.0 - 61.0 - 54.0 - 45.0 - 35.0 - 35.0 - 28.0 - 19.0 - 11.0 - 11.0 - 4.0
36,1,1.18,0.8,2.64,11.19,40.8,28.3,288,78,569,0:00,5451 m,38,19.0 - 38.0 - 45.0 - 45.0 - 52.0 - 52.0 - 56.0 - 60.0 - 60.0 - 71.0 - 72.0 - 72.0 - 82.0 - 78.0 - 78.0 - 87.0 - 87.0 - 87.0 - 89.0 - 88.0 - 88.0 - 89.0 - 87.0 - 87.0 - 88.0 - 82.0 - 81.0 - 81.0 - 82.0 - 85.0 - 76.0 - 76.0 - 76.0 - 73.0 - 70.0 - 70.0 - 67.0 - 63.0 - 58.0 - 58.0 - 53.0 - 46.0 - 35.0 - 35.0 - 29.0 - 19.0 - 15.0 - 10.0 - 10.0 - 0.0
37,1,1.18,0.82,3.11,11.05,38.1,26,285,78,570,0:00,5455 m,56,15.0 - 28.0 - 28.0 - 35.0 - 40.0 - 40.0 - 41.0 - 41.0 - 46.0 - 50.0 - 50.0 - 55.0 - 63.0 - 63.0 - 71.0 - 71.0 - 71.0 - 76.0 - 75.0 - 75.0 - 79.0 - 80.0 - 80.0 - 82.0 - 79.0 - 79.0 - 81.0 - 84.0 - 79.0 - 79.0 - 78.0 - 80.0 - 80.0 - 81.0 - 80.0 - 76.0 - 76.0 - 69.0 - 68.0 - 61.0 - 61.0 - 53.0 - 45.0 - 40.0 - 34.0 - 34.0 - 27.0 - 16.0 - 9.0 - 9.0
38,1,1.27,0.88,2.99,12.39,43.5,30.1,305,73,551,0:00,5335 m,50,16.0 - 31.0 - 31.0 - 40.0 - 43.0 - 43.0 - 52.0 - 52.0 - 56.0 - 70.0 - 70.0 - 65.0 - 65.0 - 75.0 - 73.0 - 73.0 - 81.0 - 83.0 - 83.0 - 90.0 - 86.0 - 86.0 - 92.0 - 93.0 - 93.0 - 93.0 - 95.0 - 95.0 - 94.0 - 94.0 - 95.0 - 95.0 - 93.0 - 88.0 - 89.0 - 89.0 - 86.0 - 80.0 - 85.0 - 85.0 - 84.0 - 80.0 - 70.0 - 70.0 - 67.0 - 59.0 - 52.0 - 42.0 - 42.0 - 34.0 - 23.0 - 14.0 - 8.0 - 8.0
