Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
3,6,0,00:01.5,02:12.2,3.78,00:00.0,0,25,1,6.05,0,---,193,-61,6,39,11,250,458,443,66,39.9906,-75.1986
3,14.7,0,00:03.8,02:10.8,3.82,00:00.0,0,25,2,8.65,0,---,192,-60,7,40,10,245,456,483,67,39.9905,-75.1986
3,23.8,0,00:06.1,02:08.8,3.88,00:00.0,0,25,3,9.1,0,---,193,-61,7,40,9,239,476,467,65,39.9904,-75.1987
3,33,0,00:08.5,02:09.5,3.86,00:00.0,0,25,4,9.18,0,---,182,-60,9,40,7,227,427,451,67,39.9904,-75.1988
3,42.2,0,00:10.9,02:11.2,3.81,00:00.0,0,25,5,9.2,0,---,227,-61,6,41,7,288,539,515,68,39.9903,-75.1988
3,51.5,0,00:13.3,02:10.2,3.84,00:00.0,0,24,6,9.31,0,---,203,-61,7,40,12,261,487,472,66,39.9902,-75.1989
3,60.2,0,00:15.6,02:08.8,3.88,00:00.0,0,26,7,8.69,0,---,183,-60,10,40,8,234,429,448,65,39.9902,-75.199
3,70.3,0,00:18.1,02:06.2,3.96,00:00.0,0,25,8,10.11,0,---,225,-62,6,40,9,285,527,485,65,39.9901,-75.199
3,79.9,0,00:20.5,02:05.9,3.97,00:00.0,0,26,9,9.64,0,---,199,-61,7,40,7,257,472,452,66,39.99,-75.1991
3,89.4,0,00:22.9,02:07.2,3.93,00:00.0,0,25,10,9.46,0,---,200,-60,7,40,9,260,475,471,68,39.99,-75.1992
