index,index, AverageDriveForce (lbs), Cadence (stokes/min), DriveLength (meters), DriveTime (ms), HRCur (bpm), Horizontal (meters), PeakDriveForce (lbs), Power (watts), Stroke500mPace (sec/500m), StrokeDistance (meters), StrokeRecoveryTime (ms), lapIdx, latitude, longitude,TimeStamp (sec), ElapsedTime (sec), DragFactor, AverageBoatSpeed (m/s), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), WorkoutState, Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
23,23,0.0,18.0,0.0,0.0,107.0,54.03966387850938,0.0,0.0,165.9446962190627,10.098903666999211,0.0,0.0,50.458316,14.346628,1458889136.0,26.0,0.0,3.0130520070370475,0.0,0.0,1.0,4.0,7,0.0,107.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,54.03966387850938,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
24,24,0.0,18.0,0.0,0.0,107.0,57.33612045343845,0.0,0.0,168.9074263052599,10.196250396249606,0.0,0.0,50.458291,14.346603,1458889137.0,27.0,0.0,2.960201401070248,0.0,0.0,1.0,4.0,7,0.0,107.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,57.33612045343845,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
25,25,0.0,18.0,0.0,0.0,107.0,60.04807341448052,0.0,0.0,165.43469128489423,10.166092325189853,0.0,0.0,50.458272,14.346579,1458889138.0,28.0,0.0,3.0223406959967822,0.0,0.0,1.0,4.0,8,0.0,107.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,60.04807341448052,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
26,26,0.0,18.0,0.0,0.0,107.0,62.93574646635174,0.0,0.0,163.94368783538877,9.718801963089842,0.0,0.0,50.458252,14.346553,1458889139.0,29.0,0.0,3.0498276975569554,0.0,0.0,1.0,4.0,8,0.0,107.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,62.93574646635174,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
27,27,0.0,18.0,0.0,0.0,107.0,66.04594141385478,0.0,0.0,171.4889008950228,10.303100578641487,0.0,0.0,50.458231,14.346524,1458889140.0,30.0,0.0,2.9156405889269523,0.0,0.0,1.0,4.0,8,0.0,107.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,66.04594141385478,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
28,28,0.0,18.0,0.0,0.0,107.0,69.28880236629416,0.0,0.0,161.76360251414962,10.540739954294793,0.0,0.0,50.458207,14.346498,1458889141.0,31.0,0.0,3.0909301735924464,0.0,0.0,1.0,4.0,9,0.0,107.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,69.28880236629416,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
29,29,0.0,18.0,0.0,0.0,107.0,71.91432339807321,0.0,0.0,159.939807669544,10.291370254969248,0.0,0.0,50.458188,14.346476,1458889142.0,32.0,0.0,3.1261760738956474,0.0,0.0,1.0,4.0,9,0.0,107.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,71.91432339807321,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
30,30,0.0,17.0,0.0,0.0,108.0,75.50272428244274,0.0,0.0,165.51010390161963,10.390537553249407,0.0,0.0,50.458162,14.346446,1458889143.0,33.0,0.0,3.0209636041144865,0.0,0.0,1.0,4.0,9,0.0,108.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,75.50272428244274,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
31,31,0.0,17.0,0.0,0.0,108.0,78.56662683582996,0.0,0.0,165.94595139999515,10.769909994858798,0.0,0.0,50.458141,14.346418,1458889144.0,34.0,0.0,3.0130292169334276,0.0,0.0,1.0,4.0,9,0.0,108.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,78.56662683582996,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
32,32,0.0,17.0,0.0,0.0,108.0,81.1507594344272,0.0,0.0,159.90579888412478,10.08476566465145,0.0,0.0,50.458122,14.346397,1458889145.0,35.0,0.0,3.126840949416246,0.0,0.0,1.0,4.0,10,0.0,108.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,81.1507594344272,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
33,33,0.0,18.0,0.0,0.0,109.0,84.3539484509613,0.0,0.0,171.1568144859883,9.93438529971629,0.0,0.0,50.458098,14.346372,1458889146.0,36.0,0.0,2.9212976503540404,0.0,0.0,1.0,4.0,10,0.0,109.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,84.3539484509613,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
34,34,0.0,18.0,0.0,0.0,109.0,87.54852814515444,0.0,0.0,171.689768276745,10.27066310946677,0.0,0.0,50.458076,14.346343,1458889147.0,37.0,0.0,2.912229453266283,0.0,0.0,1.0,4.0,10,0.0,109.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,87.54852814515444,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
