Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,9212.5,0,43:05.0,02:20.4,3.56,00:00.0,0,23,921,10,0,107,---,---,---,---,---,---,---,---,---,41.2211734,-74.2888944
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Per-Stroke Data:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1,690.4,0,04:28.6,02:15.5,3.69,00:00.0,0,19,72,11.7,0,93,---,---,---,---,---,---,---,---,---,41.215,-74.2986231
1,701.6,0,04:31.6,02:16.2,3.67,00:00.0,0,19,73,11.2,0,93,---,---,---,---,---,---,---,---,---,41.214929,-74.2987177
1,713.5,0,04:35.0,02:15.5,3.69,00:00.0,0,19.5,74,11.9,0,93,---,---,---,---,---,---,---,---,---,41.2148516,-74.2988157
1,725,0,04:38.0,02:13.3,3.75,00:00.0,0,19.5,75,11.5,0,94,---,---,---,---,---,---,---,---,---,41.2147789,-74.2989131
1,736.4,0,04:41.0,02:12.2,3.78,00:00.0,0,19.5,76,11.4,0,95,---,---,---,---,---,---,---,---,---,41.2147066,-74.299009
1,747.5,0,04:44.0,02:14.4,3.72,00:00.0,0,19.5,77,11.1,0,96,---,---,---,---,---,---,---,---,---,41.2146379,-74.2991048
1,759,0,04:47.0,02:12.9,3.76,00:00.0,0,19.5,78,11.6,0,96,---,---,---,---,---,---,---,---,---,41.2145647,-74.2992029
1,770.9,0,04:50.1,02:11.5,3.8,00:00.0,0,19.5,79,11.9,0,96,---,---,---,---,---,---,---,---,---,41.2144919,-74.2993063
1,782.8,0,04:53.2,02:13.3,3.75,00:00.0,0,19,80,11.9,0,97,---,---,---,---,---,---,---,---,---,41.2144164,-74.2994071
1,794.6,0,04:56.4,02:14.0,3.73,00:00.0,0,19.5,81,11.8,0,97,---,---,---,---,---,---,---,---,---,41.2143435,-74.2995097
1,806.1,0,04:59.4,02:13.3,3.75,00:00.0,0,19.5,82,11.5,0,97,---,---,---,---,---,---,---,---,---,41.2142729,-74.2996099
1,817.3,0,05:02.4,02:12.9,3.76,00:00.0,0,19.5,83,11.2,0,97,---,---,---,---,---,---,---,---,---,41.2142047,-74.2997086
1,829.5,0,05:05.6,02:13.6,3.74,00:00.0,0,19,84,12.1,0,97,---,---,---,---,---,---,---,---,---,41.2141318,-74.299816
1,840.6,0,05:08.6,02:15.5,3.69,00:00.0,0,19.5,85,11.1,0,98,---,---,---,---,---,---,---,---,---,41.2140658,-74.2999161
1,852.2,0,05:11.8,02:16.6,3.66,00:00.0,0,20,86,11.6,0,98,---,---,---,---,---,---,---,---,---,41.2139968,-74.30002
1,863.6,0,05:14.8,02:14.7,3.71,00:00.0,0,19.5,87,11.4,0,98,---,---,---,---,---,---,---,---,---,41.2139295,-74.3001227
1,874.9,0,05:17.8,02:14.4,3.72,00:00.0,0,19.5,88,11.2,0,98,---,---,---,---,---,---,---,---,---,41.2138631,-74.3002241
1,886.8,0,05:21.0,02:14.7,3.71,00:00.0,0,20,89,12,0,100,---,---,---,---,---,---,---,---,---,41.213793,-74.3003323
1,898.1,0,05:24.0,02:14.4,3.72,00:00.0,0,19.5,90,11.3,0,101,---,---,---,---,---,---,---,---,---,41.2137265,-74.3004342
1,909.4,0,05:27.0,02:15.1,3.7,00:00.0,0,19.5,91,11.3,0,101,---,---,---,---,---,---,---,---,---,41.2136604,-74.3005368
1,920.9,0,05:30.0,02:14.4,3.72,00:00.0,0,20,92,11.4,0,101,---,---,---,---,---,---,---,---,---,41.2135947,-74.3006416
1,932,0,05:33.0,02:14.4,3.72,00:00.0,0,19.5,93,11.2,0,101,---,---,---,---,---,---,---,---,---,41.2135315,-74.3007451
1,944.2,0,05:36.2,02:14.7,3.71,00:00.0,0,19.5,94,12.2,0,101,---,---,---,---,---,---,---,---,---,41.2134617,-74.3008571
1,955.5,0,05:39.2,02:12.2,3.78,00:00.0,0,19.5,95,11.3,0,101,---,---,---,---,---,---,---,---,---,41.2133983,-74.3009622
