Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,2373.1,0,12:29.0,02:38.2,3.16,00:00.0,0,22,255,9.3,0,---,---,---,---,---,---,---,---,---,---,51.451923,-2.5521974
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Per-Stroke Data:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,412.3,0,01:59.4,02:24.9,3.45,00:00.0,0,23,43,9,0,---,---,---,---,---,---,---,---,---,---,51.4543431,-2.5478771
1,420.7,0,02:02.0,02:23.6,3.48,00:00.0,0,21,44,8.4,0,---,---,---,---,---,---,---,---,---,---,51.4543725,-2.5477648
1,431.1,0,02:05.0,02:22.0,3.52,00:00.0,0,22,45,10.3,0,---,---,---,---,---,---,---,---,---,---,51.4544055,-2.5476256
1,441.5,0,02:08.0,02:21.2,3.54,00:00.0,0,21,46,10.4,0,---,---,---,---,---,---,---,---,---,---,51.4544368,-2.5474839
1,451.4,0,02:10.5,02:22.8,3.5,00:00.0,0,20.5,47,9.9,0,---,---,---,---,---,---,---,---,---,---,51.4544639,-2.5473479
1,461.9,0,02:13.5,02:26.1,3.42,00:00.0,0,20,48,10.5,0,---,---,---,---,---,---,---,---,---,---,51.4544959,-2.547206
1,472.4,0,02:16.5,02:28.3,3.37,00:00.0,0,20.5,49,10.6,0,---,---,---,---,---,---,---,---,---,---,51.4545227,-2.5470597
1,482.6,0,02:19.5,02:30.6,3.32,00:00.0,0,20.5,50,10.1,0,---,---,---,---,---,---,---,---,---,---,51.4545459,-2.5469188
1,491.7,0,02:22.3,02:34.3,3.24,00:00.0,0,20.5,51,9.1,0,---,---,---,---,---,---,---,---,---,---,51.4545688,-2.5467922
1,500.3,0,02:25.1,02:39.7,3.13,00:00.0,0,21,52,8.6,0,---,---,---,---,---,---,---,---,---,---,51.4545918,-2.5466733
1,508.4,0,02:27.7,02:47.7,2.98,00:00.0,0,22.5,53,8,0,---,---,---,---,---,---,---,---,---,---,51.4546178,-2.5465653
1,517,0,02:30.5,02:49.4,2.95,00:00.0,0,22.5,54,8.6,0,---,---,---,---,---,---,---,---,---,---,51.4546579,-2.5464585
1,526,0,02:33.3,02:42.8,3.07,00:00.0,0,22,55,8.9,0,---,---,---,---,---,---,---,---,---,---,51.4547056,-2.5463549
1,534.9,0,02:36.1,02:37.7,3.17,00:00.0,0,20.5,56,9,0,---,---,---,---,---,---,---,---,---,---,51.4547637,-2.5462654
1,544.6,0,02:39.1,02:35.7,3.21,00:00.0,0,21,57,9.7,0,---,---,---,---,---,---,---,---,---,---,51.4548316,-2.5461774
1,554.1,0,02:42.1,02:35.7,3.21,00:00.0,0,19.5,58,9.5,0,---,---,---,---,---,---,---,---,---,---,51.4548956,-2.5460872
1,563.8,0,02:45.1,02:36.2,3.2,00:00.0,0,20.5,59,9.6,0,---,---,---,---,---,---,---,---,---,---,51.4549627,-2.5459995
1,573.5,0,02:48.1,02:36.7,3.19,00:00.0,0,20,60,9.8,0,---,---,---,---,---,---,---,---,---,---,51.4550288,-2.5459062
