index,index, AverageDriveForce (lbs), Cadence (stokes/min), DragFactor, DriveLength (meters), DriveTime (ms), ElapsedTime (sec), HRCur (bpm), Horizontal (meters), PeakDriveForce (lbs), Power (watts), Stroke500mPace (sec/500m), StrokeDistance (meters), StrokeRecoveryTime (ms), lapIdx, latitude, longitude,TimeStamp (sec), AverageBoatSpeed (m/s), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), WorkoutState, Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
22,22,0.0,18.0,0.0,0.0,0.0,23.0,142.0,0.0,0.0,0.0,10000.0,0.000117268056479,0.0,0.0,49.240004,16.511673,1459588531.0,0.05,0.0,0.0,1.0,4.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
23,23,0.0,18.0,0.0,0.0,0.0,24.0,142.0,0.0,0.0,0.0,10000.0,0.000143327624585,0.0,0.0,49.240004,16.511673,1459588532.0,0.05,0.0,0.0,1.0,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
24,24,0.0,18.0,0.0,0.0,0.0,25.0,142.0,0.0,0.0,0.0,10000.0,0.000175178207826,0.0,0.0,49.240004,16.511673,1459588533.0,0.05,0.0,0.0,1.0,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
25,25,0.0,18.0,0.0,0.0,0.0,26.0,142.0,0.0,0.0,0.0,10000.0,0.000214106698455,0.0,0.0,49.240004,16.511673,1459588534.0,0.05,0.0,0.0,1.0,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
26,26,0.0,18.0,0.0,0.0,0.0,27.0,142.0,0.0,0.0,0.0,10000.0,0.000261685964778,0.0,0.0,49.240004,16.511673,1459588535.0,0.05,0.0,0.0,1.0,4.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
27,27,0.0,18.0,0.0,0.0,0.0,28.0,142.0,0.0,0.0,0.0,10000.0,0.000319838401395,0.0,0.0,49.240004,16.511673,1459588536.0,0.05,0.0,0.0,1.0,4.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
28,28,0.0,18.0,0.0,0.0,0.0,29.0,142.0,0.0,0.0,0.0,10000.0,0.000390913601705,0.0,0.0,49.240004,16.511673,1459588537.0,0.05,0.0,0.0,1.0,4.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
29,29,0.0,18.0,0.0,0.0,0.0,30.0,142.0,0.0,0.0,0.0,10000.0,0.000477783290973,0.0,0.0,49.240004,16.511673,1459588538.0,0.05,0.0,0.0,1.0,4.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
30,30,0.0,18.0,0.0,0.0,0.0,31.0,142.0,0.0,0.0,0.0,10000.0,0.000583957355633,0.0,0.0,49.240004,16.511673,1459588539.0,0.05,0.0,0.0,1.0,4.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
31,31,0.0,18.0,0.0,0.0,0.0,32.0,142.0,0.0,0.0,0.0,10000.0,0.000713725656885,0.0,0.0,49.240004,16.511673,1459588540.0,0.05,0.0,0.0,1.0,4.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
