index,TimeStamp (sec),TOTAL Time Since Start BoatCoach, Horizontal (meters),Elapsed Time, lapIdx, Cadence (stokes/min),Cumulative Stroke Count,Piece Stroke Count,Cumulative Distance(m),Piece Distance(km),Average Speed(/500m), Stroke500mPace (sec/500m), HRCur (bpm),Calories,Calories/hr, latitude, longitude, ElapsedTime (sec), Power (watts), DriveLength (meters), StrokeDistance (meters), DriveTime (ms), DragFactor, StrokeRecoveryTime (ms), AverageDriveForce (lbs), AverageBoatSpeed (m/s), PeakDriveForce (lbs), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), WorkoutState, Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
20,1506367364.0000002,0:00:20,20.0,0:00:20,0,0.0,0,0,21,0.02,0:06:59,0.0,0.0,0,0,49.238997,16.513157,19.800000190734863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,1.0,4.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,20.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
21,1506367365.0000002,0:00:21,20.0,0:00:21,0,0.0,0,0,21,0.02,0:06:59,0.0,0.0,0,0,49.238997,16.513157,20.800000190734863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,1.0,4.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,20.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
22,1506367366.0000002,0:00:22,20.0,0:00:22,0,0.0,0,0,21,0.02,0:06:59,0.0,0.0,0,0,49.238997,16.513157,21.800000190734863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,1.0,4.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,20.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
23,1506367367.4000003,0:00:24,20.0,0:00:24,0,0.0,1,1,21,0.02,0:06:59,0.0,0.0,0,0,49.238997,16.513157,23.200000286102295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,1.0,4.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,20.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
24,1506367368.4000003,0:00:25,20.0,0:00:25,0,0.0,1,1,21,0.02,0:06:59,0.0,0.0,0,0,49.239005,16.513123,24.200000286102295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,1.0,4.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,20.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
25,1506367369.6000001,0:00:26,20.0,0:00:26,0,0.0,1,1,21,0.02,0:06:59,0.0,0.0,0,0,49.239005,16.513123,25.40000009536743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,1.0,4.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,20.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
26,1506367370.6000001,0:00:27,20.0,0:00:27,0,23.2,2,2,21,0.02,0:06:59,0.0,0.0,0,0,49.239005,16.513123,26.40000009536743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,1.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,20.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
27,1506367371.6000001,0:00:28,20.0,0:00:28,0,23.2,2,2,21,0.02,0:06:59,0.0,0.0,0,0,49.239015,16.513091,27.40000009536743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,1.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,20.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
28,1506367372.8000004,0:00:29,20.0,0:00:29,0,23.2,2,2,21,0.02,0:06:59,0.0,0.0,0,0,49.239015,16.513091,28.600000381469727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,1.0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,20.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
29,1506367373.8000004,0:00:30,20.0,0:00:30,0,23.2,2,2,21,0.02,0:06:59,0.0,0.0,0,0,49.239015,16.513091,29.600000381469727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,1.0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,20.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
