Interval,Elapsed Time,Total Distance,Avg Split,Avg Speed,Avg Stroke Rate,Avg Heart Rate,Total Strokes,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force,Avg Force Max,Avg Force Max Angle,Avg Work,Avg Power,,,,,,,,,,,,,,,,,,,,,,,,
(Interval),(HH:MM:SS.tenths),(Meters),(/500),(M/S),(SPM),(BPM),(Strokes),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Newtons),(Degrees),(Watts),(Joules),,,,,,,,,,,,,,,,,,,,,,,,
1,01:43.6,431.8,01:58.4,4.22,29.5,159,51,-61,2,35,18,154.6,296.6,30,269.1,133.8,,76,269.1,,76,76,76,71,57,,269.1,277.3,296,239.6,137,,4.22,4.15,4.07,4.03,3.92,,,
1,01:45.8,441.2,02:00.4,4.15,30,159,52,-62,5,37,18,155.3,311.2,31,277.7,138.1,,76,277.7,,76,78,75,60,61,,277.7,276.8,273,216.2,141.8,,4.15,4.15,4.07,3.99,3.91,,,
1,01:47.6,448.6,01:59.9,4.17,30,159,53,-62,4,33,20,152.7,312,35,262.7,132.7,,71,262.7,,71,76,75,75,68,,262.7,275.1,276.4,279.3,216,,4.17,4.11,4.02,4,3.72,,,
1,01:49.6,456.9,01:59.3,4.19,30,160,54,-62,5,36,17,155.4,294.3,35,279.3,136.9,,76,279.3,,76,79,80,79,59,,279.3,284.3,311.6,289.5,176.1,,4.19,4.19,4.02,4.07,3.88,,,
1,01:51.8,466.4,01:58.7,4.21,30,160,55,-63,4,37,17,151.1,299.9,34,276,137.3,,79,276,,79,79,76,78,75,,276,285,299.5,278,252.6,,4.21,4.21,4.09,4.13,3.9,,,
1,01:53.6,473.7,01:59.6,4.18,29,160,56,-62,2,42,24,151.5,301.2,31,273.2,133.9,,78,273.2,,78,79,78,75,72,,273.2,281.7,288.3,278.7,251.5,,4.18,4.18,4.07,4.09,3.95,,,
1,01:55.6,482.2,02:00.1,4.16,28.5,160,57,-62,3,40,22,166.7,314.8,38,303.5,144.5,,77,303.5,,77,79,77,75,69,,303.5,298.2,303.5,258.6,238,,4.16,4.19,4.14,4.13,3.86,,,
1,01:57.8,491.3,02:00.7,4.14,30,160,58,-61,2,38,16,149.8,293,30,272.6,133.6,,81,272.6,,81,77,77,76,73,,272.6,303.5,303.5,272.4,254.9,,4.14,4.18,4.08,4.08,3.97,,,
1,01:59.8,499.5,02:00.1,4.16,29,160,59,-62,3,40,22,166.7,314.8,38,303.5,144.5,,77,303.5,,77,77,77,76,72,,303.5,291,303.5,261.1,255.3,,4.16,4.08,4.12,4.12,3.97,,,
1,02:01.8,507.9,02:00.4,4.15,29,160,60,-63,2,37,16,161.8,301.4,31,293.7,141.9,,82,293.7,,82,75,74,71,74,,293.7,268.4,274.6,247.9,250.5,,4.15,4.14,4.02,4.04,3.9,,,
1,02:03.8,516.4,01:58.7,4.21,29,160,61,-63,4,38,18,156.9,304.1,34,287.1,140.7,,79,287.1,,79,75,78,72,76,,287.1,255.2,278.7,238.9,248.5,,4.21,4.16,4.02,3.97,3.92,,,
1,02:06.0,525.4,02:01.0,4.13,30,160,62,-63,2,34,21,161.1,316.4,31,273.7,136.1,,74,273.7,,74,79,77,78,66,,273.7,281,267.2,260.1,221.2,,4.13,4.14,3.97,3.98,3.91,,,
1,02:08.0,533.8,01:58.2,4.23,29,160,63,-63,4,39,20,150.8,307.4,33,281.9,136.2,,78,281.9,,78,78,80,72,75,,281.9,290.2,269.4,266.2,252.4,,4.23,4.1,4.01,3.92,3.88,,,
1,02:10.1,542.4,01:59.3,4.19,28.5,160,64,-63,4,39,19,155.3,301.9,33,285.4,137.9,,79,285.4,,79,73,75,76,74,,285.4,254.6,261.3,256.9,246.9,,4.19,4.12,4,3.9,3.88,,,
1,02:12.0,550.6,02:00.1,4.16,30,160,65,-63,6,39,19,149.4,291.3,37,276,135.3,,77,276,,77,76,76,72,75,,276,264.4,259.8,242.1,264.6,,4.16,4.03,3.99,3.98,3.88,,,
1,02:14.2,559.7,01:58.7,4.21,29,160,66,-63,4,39,18,152,304.4,31,286.4,138.3,,80,286.4,,80,80,75,67,79,,286.4,274.3,270.4,244.3,278.2,,4.21,3.98,4.03,3.92,3.9,,,
1,02:16.2,567.9,02:01.3,4.12,29,161,67,-62,4,37,20,150.6,304.4,31,275.7,135.1,,75,275.7,,75,77,83,57,76,,275.7,260.5,280.1,195.6,285.6,,4.12,4.03,4.07,3.88,4.03,,,
1,02:18.2,576.4,02:00.4,4.15,30,161,68,-63,2,37,19,154.9,295.9,31,282.7,138.5,,79,282.7,,79,71,72,79,76,,282.7,242.9,268.1,296.1,278.4,,4.15,4.05,4.08,3.8,4.04,,,
1,02:20.2,584.7,01:59.9,4.17,29,161,69,-63,4,39,20,155.7,296.8,29,282.4,138.4,,78,282.4,,78,81,78,76,77,,282.4,281.3,294.2,273,303.5,,4.17,4.03,4.07,3.9,4.06,,,
1,02:22.4,593.8,02:00.4,4.15,29,161,70,-62,2,38,20,161.1,315.7,31,295.4,140.6,,78,295.4,,78,77,78,76,77,,295.4,282.4,295.6,277.1,272.2,,4.15,4.03,4.07,4.01,4.03,,,
1,02:24.4,602.3,01:58.7,4.21,29,161,71,-62,2,33,24,152.4,302.8,28,254.9,126.8,,69,254.9,,69,76,80,69,66,,254.9,270.3,284,252.1,234.6,,4.21,3.99,4.11,3.97,3.99,,,
1,02:26.4,610.6,02:00.1,4.16,30,161,72,-61,4,38,19,158.3,308,31,281.2,139.9,,76,281.2,,76,76,77,76,76,,281.2,262.3,277.4,264.9,274.4,,4.16,4.06,3.98,4,3.96,,,
