Total elapsed time,Total distance,Stroke rate (/min),Speed (m/s),Current heart rate (bpm),Interval type,Workout state,Rowing state,Stroke count,Stroke state,Total work distance,Piece duration,Piece distance,Drag factor,Current pace (/500m),Average pace (/500m),Rest distance,Rest time,Interval count,Total average power (W),Total average calories (cal),Split average pace (/500m),Split average power (W),Split average calories (cal/hr),Last split time,Last split distance
1:01.5,189 m,17,3.2,117,Time,Running,Active,18,Driving,0 m,0:00.0,0 m,105,2:38.4,2:41.8,0 m,0:00,1,83,9,2:41.8,83,9,0:00.0,0 m
1:02.5,193 m,17,3.2,117,Time,Running,Active,19,Recovery,0 m,0:00.0,0 m,105,2:38.4,2:41.8,0 m,0:00,1,83,9,2:41.8,83,9,0:00.0,0 m
1:03.5,196 m,19,3.2,117,Time,Running,Active,19,Recovery,0 m,0:00.0,0 m,105,2:38.8,2:41.7,0 m,0:00,1,83,10,2:41.7,83,10,0:00.0,0 m
1:04.5,199 m,19,3.2,117,Time,Running,Active,19,Recovery,0 m,0:00.0,0 m,105,2:38.8,2:41.7,0 m,0:00,1,83,10,2:41.7,83,10,0:00.0,0 m
1:05.5,202 m,19,3.2,117,Time,Running,Active,19,Driving,0 m,0:00.0,0 m,105,2:38.8,2:41.7,0 m,0:00,1,83,10,2:41.7,83,10,0:00.0,0 m
1:06.5,206 m,19,3.2,118,Time,Running,Active,20,Recovery,0 m,0:00.0,0 m,105,2:38.8,2:41.7,0 m,0:00,1,83,10,2:41.7,83,10,0:00.0,0 m
1:07.5,209 m,18,3.2,123,Time,Running,Active,20,Recovery,0 m,0:00.0,0 m,105,2:38.5,2:41.5,0 m,0:00,1,83,10,2:41.5,83,10,0:00.0,0 m
1:08.5,212 m,18,3.2,125,Time,Running,Active,20,Driving,0 m,0:00.0,0 m,105,2:38.5,2:41.5,0 m,0:00,1,83,10,2:41.5,83,10,0:00.0,0 m
1:09.5,215 m,18,3.2,125,Time,Running,Active,21,Recovery,0 m,0:00.0,0 m,105,2:38.5,2:41.5,0 m,0:00,1,83,10,2:41.5,83,10,0:00.0,0 m
1:10.5,218 m,19,3.2,125,Time,Running,Active,21,Recovery,0 m,0:00.0,0 m,105,2:38.4,2:41.3,0 m,0:00,1,83,11,2:41.3,83,11,0:00.0,0 m
1:11.5,221 m,19,3.2,125,Time,Running,Active,21,Driving,0 m,0:00.0,0 m,105,2:38.4,2:41.3,0 m,0:00,1,83,11,2:41.3,83,11,0:00.0,0 m
1:12.5,225 m,19,3.2,118,Time,Running,Active,22,Recovery,0 m,0:00.0,0 m,105,2:38.4,2:41.3,0 m,0:00,1,83,11,2:41.3,83,11,0:00.0,0 m
1:13.5,228 m,18,3.2,118,Time,Running,Active,22,Recovery,0 m,0:00.0,0 m,105,2:35.0,2:41.0,0 m,0:00,1,84,11,2:41.0,84,11,0:00.0,0 m
1:14.5,231 m,18,3.2,118,Time,Running,Active,22,Recovery,0 m,0:00.0,0 m,105,2:35.0,2:41.0,0 m,0:00,1,84,11,2:41.0,84,11,0:00.0,0 m
1:15.5,234 m,18,3.2,118,Time,Running,Active,22,Driving,0 m,0:00.0,0 m,105,2:35.0,2:41.0,0 m,0:00,1,84,11,2:41.0,84,11,0:00.0,0 m
1:16.5,238 m,18,3.2,117,Time,Running,Active,23,Recovery,0 m,0:00.0,0 m,105,2:35.0,2:41.0,0 m,0:00,1,84,11,2:41.0,84,11,0:00.0,0 m
