Total elapsed time,Total distance,Stroke rate (/min),Speed (m/s),Current heart rate (bpm),Interval type,Workout state,Rowing state,Stroke count,Stroke state,Total work distance,Piece duration,Piece distance,Drag factor,Current pace (/500m),Average pace (/500m),Rest distance,Rest time,Interval count,Total average power (W),Total average calories (cal),Split average pace (/500m),Split average power (W),Split average calories (cal/hr),Last split time,Last split distance
4:33.6,887 m,17,3.2,123,Time,Running,Active,83,Driving,0 m,0:00.0,0 m,105,2:38.4,2:34.0,0 m,0:00,1,96,47,2:34.0,96,47,0:00.0,0 m
4:34.6,891 m,17,3.2,122,Time,Running,Active,84,Recovery,0 m,0:00.0,0 m,105,2:38.4,2:34.0,0 m,0:00,1,96,47,2:34.0,96,47,0:00.0,0 m
4:35.6,894 m,16,3.2,121,Time,Running,Active,84,Recovery,0 m,0:00.0,0 m,105,2:38.7,2:34.1,0 m,0:00,1,96,47,2:34.1,96,47,0:00.0,0 m
4:36.6,897 m,16,3.2,120,Time,Running,Active,84,Recovery,0 m,0:00.0,0 m,105,2:38.7,2:34.1,0 m,0:00,1,96,47,2:34.1,96,47,0:00.0,0 m
4:37.6,900 m,16,3.2,121,Time,Running,Active,84,Driving,0 m,0:00.0,0 m,105,2:38.7,2:34.1,0 m,0:00,1,96,47,2:34.1,96,47,0:00.0,0 m
4:38.6,904 m,16,3.2,121,Time,Running,Active,85,Recovery,0 m,0:00.0,0 m,105,2:38.7,2:34.1,0 m,0:00,1,96,47,2:34.1,96,47,0:00.0,0 m
4:39.6,907 m,16,3.2,121,Time,Running,Active,85,Recovery,0 m,0:00.0,0 m,105,2:38.3,2:34.1,0 m,0:00,1,96,48,2:34.1,96,48,0:00.0,0 m
4:40.6,910 m,16,3.2,121,Time,Running,Active,85,Recovery,0 m,0:00.0,0 m,105,2:38.3,2:34.1,0 m,0:00,1,96,48,2:34.1,96,48,0:00.0,0 m
4:41.6,913 m,16,3.2,121,Time,Running,Active,85,Dwelling,0 m,0:00.0,0 m,105,2:38.3,2:34.1,0 m,0:00,1,96,48,2:34.1,96,48,0:00.0,0 m
4:42.6,917 m,16,3.2,120,Time,Running,Active,86,Recovery,0 m,0:00.0,0 m,105,2:38.4,2:34.2,0 m,0:00,1,96,49,2:34.2,96,49,0:00.0,0 m
4:43.6,920 m,16,3.2,119,Time,Running,Active,86,Recovery,0 m,0:00.0,0 m,105,2:38.4,2:34.2,0 m,0:00,1,96,49,2:34.2,96,49,0:00.0,0 m
4:44.6,923 m,16,3.2,120,Time,Running,Active,86,Driving,0 m,0:00.0,0 m,105,2:38.4,2:34.2,0 m,0:00,1,96,49,2:34.2,96,49,0:00.0,0 m
4:45.6,926 m,16,3.2,121,Time,Running,Active,87,Recovery,0 m,0:00.0,0 m,105,2:38.4,2:34.2,0 m,0:00,1,96,49,2:34.2,96,49,0:00.0,0 m
4:46.6,929 m,17,3.2,122,Time,Running,Active,87,Recovery,0 m,0:00.0,0 m,105,2:35.2,2:34.2,0 m,0:00,1,96,49,2:34.2,96,49,0:00.0,0 m
4:47.6,932 m,17,3.2,122,Time,Running,Active,87,Recovery,0 m,0:00.0,0 m,105,2:35.2,2:34.2,0 m,0:00,1,96,49,2:34.2,96,49,0:00.0,0 m
4:48.7,935 m,17,3.2,123,Time,Running,Active,87,Driving,0 m,0:00.0,0 m,105,2:35.2,2:34.2,0 m,0:00,1,96,49,2:34.2,96,49,0:00.0,0 m
4:49.7,939 m,17,3.2,123,Time,Running,Active,88,Recovery,0 m,0:00.0,0 m,105,2:35.2,2:34.2,0 m,0:00,1,96,49,2:34.2,96,49,0:00.0,0 m
4:50.7,942 m,16,3.2,123,Time,Running,Active,88,Recovery,0 m,0:00.0,0 m,105,2:37.2,2:34.2,0 m,0:00,1,95,50,2:34.2,95,50,0:00.0,0 m
4:51.7,945 m,16,3.2,123,Time,Running,Active,88,Recovery,0 m,0:00.0,0 m,105,2:37.2,2:34.2,0 m,0:00,1,95,50,2:34.2,95,50,0:00.0,0 m
4:52.7,948 m,16,3.2,123,Time,Running,Active,88,Driving,0 m,0:00.0,0 m,105,2:37.2,2:34.2,0 m,0:00,1,95,50,2:34.2,95,50,0:00.0,0 m
4:53.7,951 m,16,3.2,124,Time,Running,Active,89,Recovery,0 m,0:00.0,0 m,105,2:37.2,2:34.2,0 m,0:00,1,95,50,2:34.2,95,50,0:00.0,0 m
4:54.7,954 m,15,3.1,124,Time,Running,Active,89,Recovery,0 m,0:00.0,0 m,105,2:41.8,2:34.3,0 m,0:00,1,95,51,2:34.3,95,51,0:00.0,0 m
4:55.6,957 m,15,3.1,124,Time,Running,Active,89,Recovery,0 m,0:00.0,0 m,105,2:41.8,2:34.3,0 m,0:00,1,95,51,2:34.3,95,51,0:00.0,0 m
4:56.7,960 m,15,3.1,125,Time,Running,Active,89,Recovery,0 m,0:00.0,0 m,105,2:41.8,2:34.3,0 m,0:00,1,95,51,2:34.3,95,51,0:00.0,0 m
4:57.6,962 m,15,3.1,125,Time,Running,Active,89,Recovery,0 m,0:00.0,0 m,105,2:41.8,2:34.3,0 m,0:00,1,95,51,2:34.3,95,51,0:00.0,0 m
4:58.6,964 m,15,3.1,125,Time,Running,Active,89,Recovery,0 m,0:00.0,0 m,105,2:41.8,2:34.3,0 m,0:00,1,95,51,2:34.3,95,51,0:00.0,0 m
4:58.9,965 m,15,3.1,125,Time,Running,Inactive,89,Waiting To Accelerate,0 m,0:00.0,0 m,105,2:41.8,2:34.3,0 m,0:00,1,95,51,2:34.3,95,51,0:00.0,0 m
4:58.9,965 m,15,3.1,124,Time,Running,Inactive,89,Waiting To Accelerate,0 m,0:00.0,0 m,105,2:41.8,2:34.9,0 m,0:00,1,94,51,2:34.9,94,51,0:00.0,965 m
4:58.9,965 m,15,3.1,123,Time,Running,Inactive,89,Waiting To Accelerate,0 m,0:00.0,0 m,105,2:41.8,2:34.9,0 m,0:00,1,94,51,2:34.9,94,51,0:00.0,965 m
4:58.9,965 m,15,3.1,121,Time,Running,Inactive,89,Waiting To Accelerate,0 m,0:00.0,0 m,105,2:41.8,2:34.9,0 m,0:00,1,94,51,2:34.9,94,51,0:00.0,965 m
4:58.9,965 m,15,3.1,121,Time,Running,Inactive,89,Waiting To Accelerate,0 m,0:00.0,0 m,105,2:41.8,2:34.9,0 m,0:00,1,94,51,2:34.9,94,51,0:00.0,965 m
4:58.9,965 m,15,3.1,120,Time,Running,Inactive,89,Waiting To Accelerate,0 m,0:00.0,0 m,105,2:41.8,2:34.9,0 m,0:00,1,94,51,2:34.9,94,51,0:00.0,965 m
4:58.9,965 m,15,3.1,121,Time,Running,Inactive,89,Waiting To Accelerate,0 m,0:00.0,0 m,105,2:41.8,2:34.9,0 m,0:00,1,94,51,2:34.9,94,51,0:00.0,965 m
4:58.9,965 m,15,3.1,122,Time,Running,Inactive,89,Waiting To Accelerate,0 m,0:00.0,0 m,105,2:41.8,2:34.9,0 m,0:00,1,94,51,2:34.9,94,51,0:00.0,965 m
4:58.9,965 m,15,3.1,122,Time,Running,Inactive,89,Waiting To Accelerate,0 m,0:00.0,0 m,105,2:41.8,2:34.9,0 m,0:00,1,94,51,2:34.9,94,51,0:00.0,965 m
4:58.9,965 m,15,3.1,122,Time,Running,Inactive,89,Waiting To Accelerate,0 m,0:00.0,0 m,105,2:41.8,2:34.9,0 m,0:00,1,94,51,2:34.9,94,51,0:00.0,965 m
4:58.9,965 m,15,3.1,121,Time,Running,Inactive,89,Waiting To Accelerate,0 m,0:00.0,0 m,105,2:41.8,2:34.9,0 m,0:00,1,94,51,2:34.9,94,51,0:00.0,965 m
4:58.9,965 m,15,3.1,120,Time,Running,Inactive,89,Waiting To Accelerate,0 m,0:00.0,0 m,105,2:41.8,2:34.9,0 m,0:00,1,94,51,2:34.9,94,51,0:00.0,965 m
