Stroke (#),Second (#),Distance (m),Work (J),Actual power (W),Average power (W),Actual split (s),Average split (s),Stroke rate (SPM),Heart rate (bpm)
245,716,2292,280.1,88,92.0,158,156,21.1,124
246,719,2302,279.0,100,92.1,151,156,21.4,109
247,775,2320,259.7,98,91.5,152,156,21.1,108
248,787,2336,55.8,98,90.7,152,156,21.1,99
249,812,2351,30.3,98,89.9,152,157,21.1,98
250,815,2359,211.6,98,89.8,152,157,21.1,98
251,818,2368,212.2,74,89.8,167,157,21.1,97
252,821,2377,234.0,73,89.7,168,157,20.6,97
253,824,2387,242.6,81,89.7,162,157,20.7,98
254,826,2394,260.4,86,89.7,159,157,21.2,100
255,829,2403,275.2,92,89.7,156,157,21.2,101
256,832,2413,235.8,92,89.7,156,157,20.0,102
257,835,2422,248.1,78,89.7,164,157,19.8,103
258,838,2431,257.4,86,89.7,159,157,20.7,103
259,841,2441,244.2,85,89.6,160,157,19.8,104
260,844,2450,262.8,84,89.6,160,157,20.7,104
261,847,2459,259.3,91,89.6,156,157,20.8,105
262,850,2469,263.8,88,89.6,158,157,20.4,106
263,853,2478,266.0,91,89.6,156,157,20.7,107
264,856,2488,258.4,91,89.6,156,157,20.4,107
265,859,2497,260.9,88,89.6,158,157,20.4,108
266,861,2505,289.5,92,89.6,156,157,21.1,107
267,864,2514,254.2,100,89.7,151,157,20.6,108
268,867,2523,251.5,88,89.7,158,157,20.6,109
269,870,2533,262.0,88,89.7,158,157,20.9,109
270,873,2542,245.4,87,89.6,159,157,20.0,110
271,876,2552,256.3,82,89.6,162,157,20.0,110
272,879,2561,261.6,85,89.6,160,157,19.8,111
273,882,2571,268.0,89,89.6,157,157,20.4,111
274,885,2580,270.1,90,89.6,157,157,20.1,111
275,888,2589,258.8,91,89.6,156,157,20.1,111
276,890,2599,246.6,87,89.6,159,157,20.2,111
277,894,2608,265.9,87,89.6,159,157,21.1,112
278,897,2618,267.3,94,89.6,154,157,21.1,112
279,900,2627,275.3,91,89.6,156,157,20.4,112
280,903,2637,274.0,95,89.6,154,157,20.6,113
281,906,2646,254.3,91,89.6,156,157,19.8,113
282,909,2656,265.5,86,89.6,159,157,20.2,114
283,912,2666,285.4,91,89.7,156,157,20.4,114
284,914,2673,254.3,97,89.7,153,157,20.3,115
285,917,2682,279.0,86,89.6,159,157,20.3,115
286,920,2692,281.8,94,89.7,154,157,20.1,115
287,923,2702,275.6,92,89.7,156,157,19.6,116
288,927,2713,277.9,90,89.7,157,157,19.6,116
289,930,2723,273.9,91,89.7,156,157,19.6,116
290,932,2731,282.9,91,89.7,156,157,19.9,116
291,935,2740,280.4,97,89.7,153,157,20.6,116
292,938,2750,280.2,95,89.7,154,157,20.3,117
293,941,2759,270.1,92,89.7,156,157,19.7,117
294,944,2769,284.1,94,89.8,154,157,20.8,117
295,947,2779,290.2,96,89.8,153,157,20.2,118
296,950,2788,259.6,99,89.8,152,157,20.4,118
297,953,2798,259.6,88,89.8,158,157,20.2,118
298,956,2807,271.6,89,89.8,157,157,20.5,118
299,959,2817,257.9,92,89.8,156,157,20.3,119
300,962,2826,268.3,88,89.8,158,157,20.4,119
301,965,2836,283.7,92,89.8,156,157,20.5,120
302,968,2845,271.3,97,89.8,153,157,20.6,120
303,971,2855,265.0,92,89.8,156,157,20.4,120
304,974,2865,280.1,91,89.9,156,157,20.6,120
305,976,2872,280.3,98,89.9,152,157,20.9,120
306,979,2882,277.1,96,89.9,153,157,20.4,120
307,982,2891,276.1,95,89.9,154,157,20.5,120
308,985,2901,257.4,93,89.9,155,157,20.1,120
309,988,2910,280.1,89,89.9,157,157,20.6,120
310,991,2920,266.5,94,89.9,154,157,20.2,120
311,994,2930,284.6,92,89.9,156,157,20.6,121
312,997,2939,270.2,95,89.9,154,157,20.0,121
