index,index,TimeStamp (sec), Horizontal (meters), Cadence (stokes/min), HRCur (bpm), Stroke500mPace (sec/500m), Power (watts), StrokeDistance (meters), DriveTime (ms), StrokeRecoveryTime (ms), AverageDriveForce (lbs), PeakDriveForce (lbs), lapIdx, ElapsedTime (sec), latitude, longitude,GPS Speed,catch,slip,finish,wash,driveenergy,peakforceangle, DriveLength (meters), DragFactor, AverageBoatSpeed (m/s), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), WorkoutState, Stroke Number,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
20,1440,1617102838.066,161.22,18.5,118.0,151.057,3.6,8.0,510.0,100.0,1.1465260261407932,4.7209895194032665,622,53.06699991226196,52.2266022,6.8447619,3.31,13.0,11.0,33.0,17.0,11.675675675675675,15.0,0.0,0.0,3.3100088046234206,5.1,21.0,1.0,4.0,17,118.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,161.22,3.6,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
21,202,1617102839.261,165.42,16.0,118.0,150.602,142.7,4.2,1160.0,2380.0,63.665915804524055,113.93321373493218,622,54.26199984550476,52.2266399,6.8447641,3.32,-61.0,6.0,46.0,12.0,535.125,-14.0,0.0,0.0,3.3200090304245626,283.2,506.8,1.0,4.0,18,118.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,165.42,0.0,142.7,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
22,203,1617102842.667,176.73,18.0,119.0,150.602,144.3,11.3,1260.0,2100.0,54.85340203497129,106.51451591872704,622,57.66799998283386,52.2267414,6.8447717,3.32,-62.0,7.0,46.0,14.0,481.0,-13.0,0.0,0.0,3.3200090304245626,244.0,473.8,1.0,4.0,19,119.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,176.73,0.0,144.3,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
23,1251,1617102845.0,184.64,18.0,119.0,150.602,3.6,7.9,510.0,100.0,1.1465260261407932,4.7209895194032665,622,60.00099992752075,52.2268124,6.8447764,3.32,13.0,11.0,33.0,17.0,12.0,15.0,0.0,0.0,3.3200090304245626,5.1,21.0,1.0,4.0,19,119.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,184.64,3.6,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
24,204,1617102845.863,187.58,18.0,119.0,147.928,138.9,2.9,1290.0,2050.0,50.35722154030152,103.83928852439853,622,60.86399984359741,52.2268388,6.8447792,3.38,-62.0,8.0,47.0,12.0,463.0,-15.0,0.0,0.0,3.3800227137526364,224.00000000000006,461.90000000000003,1.0,4.0,19,119.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,187.58,0.0,138.9,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
25,205,1617102849.269,198.9,18.0,120.0,147.492,149.9,11.3,1310.0,2000.0,53.41462427667696,109.75176587488929,622,64.26999998092651,52.2269402,6.8447905,3.39,-62.0,7.0,47.0,12.0,499.6666666666667,-20.0,0.0,0.0,3.3900143736609447,237.6,488.20000000000005,1.0,4.0,21,120.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,198.9,0.0,149.9,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
26,1385,1617102849.617,200.14,18.0,121.0,147.492,3.6,1.2,510.0,100.0,1.1465260261407932,4.7209895194032665,622,64.61800003051758,52.2269513,6.8447922,3.39,13.0,11.0,33.0,17.0,12.0,15.0,0.0,0.0,3.3900143736609447,5.1,21.0,1.0,4.0,21,121.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,200.14,3.6,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
27,206,1617102852.464,209.79,18.5,122.0,147.928,155.5,9.6,1320.0,1970.0,55.07821105970478,112.06729882964422,622,67.46499991416931,52.2270378,6.8448021,3.38,-63.0,7.0,47.0,12.0,504.3243243243243,-21.0,0.0,0.0,3.3800227137526364,245.0,498.5,1.0,4.0,21,122.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,209.79,0.0,155.5,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
28,207,1617102856.089,221.44,17.5,124.0,147.492,119.2,11.7,1270.0,2060.0,47.36726151134611,96.9376514650804,622,71.08999991416931,52.2271422,6.8448124,3.39,-62.0,8.0,45.0,18.0,408.6857142857143,-23.0,0.0,0.0,3.3900143736609447,210.7,431.2,1.0,4.0,23,124.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,221.44,119.2,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
29,208,1617102859.093,231.85,18.5,126.0,146.627,136.4,10.4,1260.0,1950.0,52.33554095795622,103.83928852439853,622,74.0939998626709,52.2272353,6.8448277,3.41,-64.0,9.0,44.0,14.0,442.3783783783784,-25.0,0.0,0.0,3.4100131626508077,232.8,461.90000000000003,1.0,4.0,23,126.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,231.85,0.0,136.4,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
