index,Stroke #,TimeStamp (sec), Horizontal (meters), Stroke500mPace (sec/500m), Power (watts), Cadence (stokes/min), DragFactor, DriveLength (meters), HRCur (bpm),Work (J), PeakDriveForce (lbs), AverageDriveForce (lbs), DriveTime (ms), StrokeRecoveryTime (ms), StrokeDistance (meters), ElapsedTime (sec), AverageBoatSpeed (m/s), AverageDriveForce (N), PeakDriveForce (N), lapIdx, Calories (kCal), WorkoutState,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
24,25,1619444327.6,243.1,140.6,126.0,20.0,107.0,1.36,99.0,386.5,106.4920350162537,70.70243827868225,800.0,2070.0,10.8,75.6,3.5561877667140824,314.49999999999994,473.70000000000005,0,1.0,4.0,378.0,99.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,243.1,0.0,126.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
25,26,1619444330.7,254.1,140.7,125.6,19.0,107.0,1.39,101.0,391.1,114.60764080913265,74.2094590645247,810.0,2080.0,11.0,78.7,3.553660270078181,330.1,509.8,0,1.0,4.0,396.63157894736844,101.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,254.1,0.0,125.6,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
26,27,1619444333.8,265.1,139.2,129.8,20.0,107.0,1.33,102.0,399.6,111.90993251233077,76.70483923906642,770.0,2090.0,11.0,81.8,3.591954022988506,341.20000000000005,497.79999999999995,0,1.0,4.0,389.40000000000003,102.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,265.1,0.0,129.8,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
27,28,1619444336.9,276.3,139.0,130.4,19.0,107.0,1.39,102.0,408.5,108.11065999433481,70.09545391190184,810.0,1970.0,11.2,84.9,3.597122302158273,311.8,480.9,0,1.0,4.0,411.7894736842105,102.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,276.3,0.0,130.4,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
28,29,1619444339.8,287.0,139.6,128.7,20.0,107.0,1.36,102.0,384.2,108.20058360422821,71.10709452320255,790.0,1970.0,10.6,87.8,3.5816618911174785,316.30000000000007,481.3,0,1.0,4.0,386.09999999999997,102.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,287.0,0.0,128.7,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
29,30,1619444352.2,307.9,182.5,57.5,55.0,107.0,1.45,102.0,62.8,124.7015660196663,86.59643632733992,1080.0,1700.0,3.0,100.2,2.73972602739726,385.2,554.7,0,1.0,4.0,62.72727272727273,102.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,307.9,57.5,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
30,31,1619444354.9,316.8,154.8,94.3,22.0,107.0,1.39,101.0,262.2,113.79832832009208,76.50251111680628,880.0,2040.0,8.9,102.9,3.229974160206718,340.3,506.2,0,1.0,4.0,257.1818181818182,101.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,316.8,94.3,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
31,32,1619444358.0,327.6,142.1,122.0,20.0,107.0,1.36,100.0,373.3,108.40291172648834,72.0063306221365,800.0,2000.0,10.7,106.0,3.518648838845883,320.3,482.2,0,1.0,4.0,366.0,100.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,327.6,122.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
32,33,1619444360.9,338.2,140.3,126.7,20.0,107.0,1.33,100.0,380.2,117.39527271582791,77.60407533800037,770.0,2000.0,10.6,108.9,3.563791874554526,345.2,522.2,0,1.0,4.0,380.1,100.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,338.2,0.0,126.7,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
33,34,1619444363.9,349.1,137.7,134.1,20.0,106.0,1.36,100.0,402.6,129.4899982464896,82.39250756482367,770.0,2210.0,10.8,111.9,3.631082062454612,366.49999999999994,575.9999999999999,0,1.0,4.0,402.3,100.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,349.1,0.0,134.1,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
34,35,1619444367.0,360.2,137.2,135.6,20.0,106.0,1.15,101.0,419.0,122.99301743169178,79.49247114576168,650.0,2210.0,11.2,115.0,3.644314868804665,353.6,547.1,0,1.0,4.0,406.8,101.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,360.2,0.0,135.6,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
35,36,1619444369.8,370.3,138.7,131.1,21.0,107.0,1.36,103.0,370.0,107.0990193830341,70.9946900108358,780.0,1950.0,10.1,117.8,3.6049026676279743,315.8,476.4,0,1.0,4.0,374.57142857142856,103.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,370.3,0.0,131.1,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
36,37,1619444372.7,381.1,137.9,133.6,20.0,107.0,1.39,104.0,396.7,114.80996893139277,77.28934270337349,790.0,2009.9999999999998,10.7,120.7,3.625815808556925,343.80000000000007,510.7,0,1.0,4.0,400.8,104.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,381.1,0.0,133.6,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
37,38,1619444375.7,392.0,135.7,140.0,20.0,107.0,1.39,104.0,423.2,124.09458165288588,78.79556316908786,780.0,2080.0,11.1,123.7,3.684598378776714,350.5,552.0,0,1.0,4.0,420.0,104.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,392.0,0.0,140.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
38,39,1619444378.7,403.3,135.6,140.4,20.0,107.0,1.36,105.0,431.5,118.09218069250171,77.28934270337349,770.0,2029.9999999999998,11.2,126.7,3.6873156342182893,343.80000000000007,525.3,0,1.0,4.0,421.2,105.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,403.3,0.0,140.4,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
39,40,1619444381.7,414.5,135.9,139.4,20.0,107.0,1.42,105.0,426.5,126.70236633979435,80.90876800158264,800.0,2060.0,11.2,129.7,3.679175864606328,359.9,563.6,0,1.0,4.0,418.2,105.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,414.5,0.0,139.4,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
40,41,1619444384.8,425.8,134.2,144.8,20.0,107.0,1.39,105.0,443.4,120.00305740273636,77.49167082563362,780.0,2100.0,11.3,132.8,3.725782414307005,344.7,533.8,0,1.0,4.0,434.4,105.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,425.8,0.0,144.8,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
