index,index,TimeStamp (sec),DistanceMeters, Cadence (stokes/min), lapIdx, WorkoutState, Horizontal (meters), Stroke500mPace (sec/500m), ElapsedTime (sec), HRCur (bpm), Power (watts), DriveLength (meters), StrokeDistance (meters), DriveTime (ms), DragFactor, StrokeRecoveryTime (ms), AverageDriveForce (lbs), AverageBoatSpeed (m/s), PeakDriveForce (lbs), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
25,25,1606255071.83,3.6,22.0,1.0,4.0,3.6,inf,152.92999982833862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,38.099999999999994,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
26,26,1606255074.518,7.0,24.0,1.0,4.0,7.0,inf,155.617999792099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,41.49999999999999,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
27,27,1606255077.3520002,4.8,25.0,1.0,4.0,4.8,inf,158.4520001411438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,39.29999999999999,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
28,28,1606255079.992,7.4,28.0,1.0,4.0,7.4,inf,161.0920000076294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,41.89999999999999,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
29,29,1606255081.514,5.9,25.0,1.0,4.0,5.9,inf,162.6139998435974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,40.39999999999999,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
30,30,1606255084.9699998,6.1,23.0,1.0,4.0,6.1,inf,166.06999969482422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,40.599999999999994,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
31,31,1606255087.436,7.0,23.0,1.0,4.0,7.0,inf,168.53600001335144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,41.49999999999999,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
32,32,1606255089.896,8.5,22.0,1.0,4.0,8.5,inf,170.99599981307983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,42.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
33,33,1606255092.7399998,5.7,27.0,1.0,4.0,5.7,inf,173.83999967575073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,40.199999999999996,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
34,34,1606255095.816,6.7,23.0,1.0,4.0,6.7,inf,176.91599988937378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,41.199999999999996,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
