index,Stroke, ElapsedTime (sec), Horizontal (meters), Cadence (stokes/min),Speed,Ratio, StrokeDistance (meters), HRCur (bpm), Stroke500mPace (sec/500m),TimeStamp (sec), Power (watts), DriveLength (meters), DriveTime (ms), DragFactor, StrokeRecoveryTime (ms), AverageDriveForce (lbs), AverageBoatSpeed (m/s), PeakDriveForce (lbs), AverageDriveForce (N), PeakDriveForce (N), lapIdx, Calories (kCal), WorkoutState, Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
52,53,102.95,362.29,30.46,0.0,55.07,7.19,0.0,145.06627393225278,1712902905.3526375,0.0,0.0,0.0,0.0,0.0,0.0,3.4467005076142256,0.0,0.0,0.0,0,1.0,4.0,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,362.29,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
53,54,104.92,369.44,30.46,0.0,57.42,7.16,0.0,137.76223776223813,1712902907.2926376,0.0,0.0,0.0,0.0,0.0,0.0,3.6294416243654726,0.0,0.0,0.0,0,1.0,4.0,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,369.44,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
54,55,106.94,376.63,29.7,0.0,50.94,7.18,0.0,140.47287899860896,1712902909.3326375,0.0,0.0,0.0,0.0,0.0,0.0,3.559405940594065,0.0,0.0,0.0,0,1.0,4.0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,376.63,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
55,56,108.93,383.82,30.15,0.0,57.42,7.19,0.0,138.38664812239287,1712902911.3126376,0.0,0.0,0.0,0.0,0.0,0.0,3.6130653266331487,0.0,0.0,0.0,0,1.0,4.0,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,383.82,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
56,57,110.94,391.02,29.85,0.0,52.8,7.21,0.0,139.58333333333292,1712902913.3326375,0.0,0.0,0.0,0.0,0.0,0.0,3.5820895522388168,0.0,0.0,0.0,0,1.0,4.0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,391.02,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
57,58,112.92,398.28,30.3,0.0,52.59,7.26,0.0,136.36363636363683,1712902915.2926376,0.0,0.0,0.0,0.0,0.0,0.0,3.666666666666654,0.0,0.0,0.0,0,1.0,4.0,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,398.28,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
58,59,114.89,405.12,30.46,0.0,57.42,6.84,0.0,144.00584795321564,1712902917.2326376,0.0,0.0,0.0,0.0,0.0,0.0,3.4720812182741296,0.0,0.0,0.0,0,1.0,4.0,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,405.12,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
59,60,116.8,411.99,31.41,0.0,57.89,6.87,0.0,139.0101892285295,1712902919.0526378,0.0,0.0,0.0,0.0,0.0,0.0,3.5968586387434645,0.0,0.0,0.0,0,1.0,4.0,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,411.99,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
60,61,118.73,419.27,31.09,0.0,58.4,6.46,0.0,132.55494505494602,1712902920.912638,0.0,0.0,0.0,0.0,0.0,0.0,3.7720207253885736,0.0,0.0,0.0,0,1.0,4.0,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,419.27,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
61,62,120.67,425.66,30.93,0.0,57.65,7.21,0.0,151.79968701095342,1712902922.7926376,0.0,0.0,0.0,0.0,0.0,0.0,3.2938144329897168,0.0,0.0,0.0,0,1.0,4.0,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,425.66,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
62,63,122.58,432.98,31.41,0.0,51.75,7.32,0.0,130.46448087431682,1712902924.6126378,0.0,0.0,0.0,0.0,0.0,0.0,3.8324607329842966,0.0,0.0,0.0,0,1.0,4.0,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,432.98,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
63,64,124.56,440.4,30.3,0.0,55.56,7.42,0.0,133.4231805929929,1712902926.5726378,0.0,0.0,0.0,0.0,0.0,0.0,3.7474747474747194,0.0,0.0,0.0,0,1.0,4.0,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,440.4,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
64,65,126.51,447.8,30.74,0.0,57.58,6.97,0.0,131.75675675675635,1712902928.472638,0.0,0.0,0.0,0.0,0.0,0.0,3.7948717948718067,0.0,0.0,0.0,0,1.0,4.0,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,447.8,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
