Session Information:,,,,Device Information:

Name:,JustGo-2440M,,,Name:,Sander's SpeedCoach
Start Time:,07/30/16 10:13am,,,Model:,SpeedCoach GPS Pro
Type:,Just Go,,,Serial:,2136923
System of Units:,Meters/Split500,,,Firmware Version:,2.11
Speed Input:,GPS,,,Profile Version:,0.02
,,,,Hardware Version:,Rev 11
,,,,LiNK Version:,1.26

Session Summary:

Total Intervals,Total Elapsed Time,Total Distance,Avg Split,Avg Speed,Avg Stroke Rate,Avg Heart Rate,Total Strokes
(Interval),(HH:MM:SS.tenths),(Meters),(/500),(M/S),(SPM),(BPM),(Strokes)
1,00:14:34.8,2440.3,00:02:59.8,2.78,20.5,141,259

Summary for Session Intervals:

Interval,Elapsed Time,Total Distance,Avg Split,Avg Speed,Avg Stroke Rate,Avg Heart Rate,Total Strokes
(Interval),(HH:MM:SS.tenths),(Meters),(/500),(M/S),(SPM),(BPM),(Strokes)
1,00:14:34.8,2440.3,00:02:59.8,2.78,20.5,139,259

Session Detail Data:

Interval,Elapsed Time,GPS Distance,GPS Split,GPS Speed,Stroke Rate,Heart Rate,Stroke Count
(Interval),(HH:MM:SS.tenths),(Meters),(/500),(M/S),(SPM),(BPM),(Strokes)
1,00:09:00.8,1724.4,00:02:42.3,3.08,19.5,152,179
1,00:09:03.8,1733.7,00:02:43.3,3.06,20,151,180
1,00:09:06.8,1742.9,00:02:43.3,3.06,20,152,181
1,00:09:09.8,1752.3,00:02:42.8,3.07,19.5,151,182
1,00:09:12.8,1761.4,00:02:43.9,3.05,19.5,151,183
1,00:09:16.2,1770.9,00:02:47.7,2.98,19.5,151,184
1,00:09:19.2,1780.1,00:02:47.2,2.99,19,150,185
1,00:09:22.2,1789.5,00:02:43.3,3.06,19,147,186
1,00:09:25.3,1799.3,00:02:42.3,3.08,19.5,145,187
1,00:09:28.4,1809.0,00:02:41.8,3.09,19,145,188
1,00:09:31.6,1818.7,00:02:42.3,3.08,19.5,146,189
1,00:09:34.6,1827.9,00:02:42.8,3.07,20,146,190
1,00:09:37.6,1837.1,00:02:42.8,3.07,20,147,191
1,00:09:40.8,1846.9,00:02:41.8,3.09,19,146,192
1,00:09:43.8,1856.1,00:02:42.3,3.08,19.5,146,193
1,00:09:47.0,1866.1,00:02:42.3,3.08,19.5,146,194
1,00:09:50.0,1875.0,00:02:43.9,3.05,19.5,147,195
1,00:09:53.2,1884.5,00:02:46.6,3.00,19,146,196
1,00:09:56.6,1894.2,00:02:50.0,2.94,18,146,197
1,00:09:59.8,1903.0,00:02:57.3,2.82,18.5,144,198
1,00:10:03.0,1911.9,00:03:01.8,2.75,18.5,142,199
1,00:10:10.8,1926.2,00:03:01.8,2.75,0,138,199
1,00:10:14.7,1928.5,00:05:08.6,1.62,15,134,200
1,00:10:18.8,1934.0,00:08:51.9,0.94,16,135,201
1,00:10:22.1,1941.0,00:05:08.6,1.62,16.5,134,202
1,00:10:25.5,1948.5,00:04:00.3,2.08,18,133,203
1,00:10:33.1,1963.3,00:04:00.3,2.08,0,131,203
1,00:10:35.6,1964.0,00:09:34.7,0.87,24.5,125,204
1,00:10:37.0,1964.9,00:18:31.1,0.45,33.5,125,205
1,00:10:43.0,1967.6,00:14:37.1,0.57,9.5,125,206
1,00:10:44.2,1967.9,00:18:56.3,0.44,39,124,207
1,00:10:49.2,1970.1,00:21:55.7,0.38,12,124,208
1,00:10:56.0,1971.2,00:26:52.9,0.31,8.5,122,209
1,00:10:57.2,1972.8,00:16:01.5,0.52,48.5,120,210
1,00:10:59.2,1980.3,00:04:01.5,2.07,42,115,211
1,00:11:00.6,1986.6,00:02:13.3,3.75,42.5,115,212
1,00:11:02.0,1993.5,00:01:52.3,4.45,41.5,116,213
1,00:11:03.6,2001.4,00:01:43.3,4.84,38.5,123,214
1,00:11:05.2,2009.5,00:01:39.6,5.02,38.5,129,215
1,00:11:07.6,2020.8,00:01:38.8,5.06,30.5,140,216
1,00:11:10.4,2030.8,00:01:51.8,4.47,19.5,150,217
1,00:11:13.4,2039.4,00:02:25.3,3.44,18.5,156,218
1,00:11:16.8,2048.1,00:02:59.8,2.78,18,157,219
1,00:11:22.0,2060.4,00:03:21.6,2.48,11.5,153,220
1,00:11:25.4,2068.5,00:03:35.5,2.32,17,149,221
1,00:11:28.8,2076.8,00:03:30.0,2.38,18,147,222
1,00:11:32.6,2086.5,00:03:18.4,2.52,15.5,144,223
1,00:11:36.2,2094.5,00:03:23.2,2.46,17,140,224
1,00:11:39.8,2103.3,00:03:32.7,2.35,16.5,139,225
1,00:11:47.4,2118.2,00:03:32.7,2.35,0,128,225
1,00:11:53.2,2122.2,00:10:41.0,0.78,10.5,116,226
1,00:11:57.9,2128.1,00:08:57.6,0.93,13,116,227
1,00:12:02.1,2135.7,00:05:47.2,1.44,14,119,228
1,00:12:06.2,2142.8,00:04:40.8,1.78,15.5,119,229
1,00:12:10.2,2151.4,00:04:15.1,1.96,14.5,120,230
1,00:12:13.7,2158.9,00:04:01.5,2.07,15.5,121,231
1,00:12:17.5,2167.0,00:04:00.3,2.08,16,123,232
1,00:12:21.5,2175.7,00:03:53.6,2.14,15,124,233
1,00:12:25.4,2184.3,00:03:45.2,2.22,16,125,234
1,00:12:29.0,2193.0,00:03:36.4,2.31,16.5,125,235
1,00:12:32.7,2202.5,00:03:25.7,2.43,15.5,124,236
1,00:12:36.5,2211.7,00:03:24.0,2.45,16.5,126,237
1,00:12:40.1,2220.5,00:03:26.6,2.42,16.5,127,238
1,00:12:43.6,2228.7,00:03:28.3,2.40,17.5,125,239
1,00:12:47.2,2236.8,00:03:32.7,2.35,16.5,123,240
1,00:12:50.7,2245.2,00:03:38.3,2.29,16.5,125,241
1,00:12:58.4,2258.7,00:03:38.3,2.29,0,122,241
1,00:13:04.1,2262.6,00:08:57.6,0.93,10.5,114,242
1,00:13:07.9,2268.6,00:07:34.5,1.10,15.5,113,243
1,00:13:11.7,2276.6,00:04:37.7,1.80,16.5,118,244
1,00:13:15.3,2285.0,00:03:44.2,2.23,17.5,120,245
1,00:13:18.7,2293.9,00:03:25.7,2.43,16.5,121,246
1,00:13:22.0,2302.7,00:03:19.2,2.51,17,122,247
1,00:13:25.7,2311.8,00:03:19.2,2.51,17,122,248
1,00:13:29.3,2321.0,00:03:22.4,2.47,16.5,122,249
1,00:13:32.5,2329.5,00:03:20.0,2.50,18,122,250
1,00:13:35.9,2338.6,00:03:12.3,2.60,18,121,251
1,00:13:39.3,2347.5,00:03:05.8,2.69,17.5,124,252
1,00:13:42.7,2357.7,00:03:00.5,2.77,18,126,253
1,00:13:50.5,2376.2,00:03:00.5,2.77,0,127,253
1,00:13:55.8,2381.7,00:04:24.5,1.89,11,111,254
1,00:14:03.7,2392.1,00:04:24.5,1.89,0,114,254
1,00:14:05.9,2395.0,00:06:49.8,1.22,27.5,115,255
1,00:14:07.7,2398.1,00:05:20.5,1.56,22.5,115,256
1,00:14:12.1,2406.1,00:04:37.7,1.80,14,117,257
1,00:14:19.9,2419.1,00:04:37.7,1.80,0,117,257
1,00:14:21.0,2420.5,00:05:28.9,1.52,51,115,258
1,00:14:27.0,2428.4,00:06:27.5,1.29,10,114,259
1,00:14:34.8,2440.3,00:06:27.5,1.29,0,114,259
