index,Interval,Type, Horizontal (meters),Time,Stroke, Cadence (stokes/min),Speed(m/s),Split,TimeStamp (sec), Stroke500mPace (sec/500m), HRCur (bpm), ElapsedTime (sec), Power (watts), DriveLength (meters), StrokeDistance (meters), DriveTime (ms), DragFactor, StrokeRecoveryTime (ms), AverageDriveForce (lbs), AverageBoatSpeed (m/s), PeakDriveForce (lbs), AverageDriveForce (N), PeakDriveForce (N), lapIdx, Calories (kCal), WorkoutState, Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
23,24,D,480.0,0:03:18.4,66,26.4,3.441,2:25.3,1712903015.661661,145.3,166.0,181.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4411562284927735,0.0,0.0,0.0,0,1.0,4.0,73,0.0,0.0,0.0,0.0,166.0,0.0,0.0,142,146,160,167,180,192,480.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
24,25,D,500.0,0:03:24.6,68,27.1,3.232,2:34.7,1712903021.861661,154.7,167.0,187.70000004768372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2320620555914674,0.0,0.0,0.0,0,1.0,4.0,76,0.0,0.0,0.0,0.0,167.0,167.0,0.0,142,146,160,167,180,192,500.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
25,26,D,520.0,0:03:30.8,71,25.8,3.232,2:34.7,1712903028.061661,154.7,167.0,193.90000009536743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2320620555914674,0.0,0.0,0.0,0,1.0,4.0,79,0.0,0.0,0.0,0.0,167.0,167.0,0.0,142,146,160,167,180,192,520.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
26,27,D,540.0,0:03:36.9,74,25.9,3.291,2:31.10,1712903034.061661,152.0,167.0,199.90000009536743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.289473684210526,0.0,0.0,0.0,0,1.0,4.0,81,0.0,0.0,0.0,0.0,167.0,167.0,0.0,142,146,160,167,180,192,540.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
27,28,D,560.0,0:03:43.3,76,25.1,3.107,2:40.10,1712903040.561661,161.0,168.0,206.40000009536743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1055900621118013,0.0,0.0,0.0,0,1.0,4.0,84,0.0,0.0,0.0,0.0,0.0,168.0,0.0,142,146,160,167,180,192,560.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
28,29,D,580.0,0:03:49.5,79,25.3,3.224,2:35.1,1712903046.7616608,155.1,168.0,212.59999990463257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2237266279819474,0.0,0.0,0.0,0,1.0,4.0,87,0.0,0.0,0.0,0.0,0.0,168.0,0.0,142,146,160,167,180,192,580.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
29,30,D,600.0,0:03:55.5,81,26.0,3.351,2:29.2,1712903052.7616608,149.2,169.0,218.59999990463257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3512064343163543,0.0,0.0,0.0,0,1.0,4.0,89,0.0,0.0,0.0,0.0,0.0,169.0,0.0,142,146,160,167,180,192,600.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
30,31,D,620.0,0:04:01.6,84,26.1,3.265,2:33.1,1712903058.861661,153.1,169.0,224.70000004768372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2658393207054215,0.0,0.0,0.0,0,1.0,4.0,92,0.0,0.0,0.0,0.0,0.0,169.0,0.0,142,146,160,167,180,192,620.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
31,32,D,640.0,0:04:07.6,87,25.6,3.324,2:30.4,1712903064.861661,150.4,168.0,230.70000004768372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.324468085106383,0.0,0.0,0.0,0,1.0,4.0,95,0.0,0.0,0.0,0.0,0.0,168.0,0.0,142,146,160,167,180,192,640.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
32,33,D,660.0,0:04:13.6,89,26.0,3.342,2:29.6,1712903070.861661,149.6,169.0,236.70000004768372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.342245989304813,0.0,0.0,0.0,0,1.0,4.0,97,0.0,0.0,0.0,0.0,0.0,169.0,0.0,142,146,160,167,180,192,660.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
33,34,D,680.0,0:04:19.5,92,25.7,3.377,2:28.1,1712903076.7616608,148.1,168.0,242.59999990463257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.37609723160027,0.0,0.0,0.0,0,1.0,4.0,100,0.0,0.0,0.0,0.0,0.0,168.0,0.0,142,146,160,167,180,192,680.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
34,35,D,700.0,0:04:25.5,94,25.3,3.386,2:27.7,1712903082.661661,147.7,168.0,248.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3852403520649967,0.0,0.0,0.0,0,1.0,4.0,102,0.0,0.0,0.0,0.0,0.0,168.0,0.0,142,146,160,167,180,192,700.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
35,36,D,720.0,0:04:31.5,97,25.1,3.333,2:30.0,1712903088.661661,150.0,168.0,254.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.0,0.0,0.0,0,1.0,4.0,105,0.0,0.0,0.0,0.0,0.0,168.0,0.0,142,146,160,167,180,192,720.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
36,37,D,740.0,0:04:37.4,99,25.2,3.377,2:28.1,1712903094.561661,148.1,169.0,260.40000009536743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.37609723160027,0.0,0.0,0.0,0,1.0,4.0,107,0.0,0.0,0.0,0.0,0.0,169.0,0.0,142,146,160,167,180,192,740.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
