index,TimeStamp (sec), Horizontal (meters), Cadence (stokes/min),Speed (m/s), HRCur (bpm),Workout type,Interval type,Workout state,Rowing state,Stroke state,Total work distance (m),Piece duration (s),Piece distance (m), DragFactor, Stroke500mPace (sec/500m),Average pace (/500m),Rest distance (m),Rest time (s),Interval count,Total average power (W),Total average calories (cal),Split average pace (/500m), Power (watts),Split average calories (cal/hr),Last split time (s),Last split distance (m), DriveLength (meters), DriveTime (ms), StrokeRecoveryTime (ms), StrokeDistance (meters), PeakDriveForce (lbs), AverageDriveForce (lbs),Work per stroke (J),Stroke count,Stroke power (W),Stroke calories (cal/hr),Projected work time (s),Projected work distance (m),Split/interval time (s),Split/interval distance (m),Split/interval rest time (s),Split/interval rest distance (s),Split/interval type,Split/interval number,Split/interval ave. stroke rate (/min),Split/interval ave. pace (/500m,Split/interval total calories (cals),Split/interval average calories (cal/hr),Split/interval speed (m/s),Split/interval power (W),Split/interval ave. drag factor, lapIdx, ElapsedTime (sec), AverageBoatSpeed (m/s), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), WorkoutState, Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
20,1712902821.201406,46.8,21.0,4.382,105.0,6,0,4,1,4,0.0,600.0,600.0,132.0,114.1,114.1,0.0,0.0,0,236,2,0.0,0.0,0,0.0,0,1.42,700.0,1990.0,12.67,182.1,120.7,6.9,4,239,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,9.519999980926514,4.382120946538125,536.900154,810.020862,1.0,4.0,2,0.0,105.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,46.79999999999999,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
21,1712902821.591406,48.4,21.0,4.382,108.0,6,0,4,1,4,0.0,600.0,600.0,132.0,114.1,114.1,0.0,0.0,0,236,2,0.0,0.0,0,0.0,0,1.42,700.0,1990.0,12.67,182.1,120.7,6.9,4,239,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,9.910000085830688,4.382120946538125,536.900154,810.020862,1.0,4.0,2,0.0,108.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,48.39999999999999,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
22,1712902822.341406,51.2,21.0,4.382,108.0,6,0,4,1,2,0.0,600.0,600.0,132.0,114.1,114.1,0.0,0.0,0,236,2,0.0,0.0,0,0.0,0,1.42,700.0,1990.0,12.67,182.1,120.7,6.9,4,239,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,10.660000085830688,4.382120946538125,536.900154,810.020862,1.0,4.0,2,0.0,108.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,51.199999999999996,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
23,1712902822.711406,52.7,21.0,4.382,109.0,6,0,4,1,2,0.0,600.0,600.0,132.0,114.1,114.1,0.0,0.0,0,236,2,0.0,0.0,0,0.0,0,1.42,700.0,2060.0,12.67,182.1,120.7,6.9,4,239,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,11.02999997138977,4.382120946538125,536.900154,810.020862,1.0,4.0,3,0.0,109.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,52.699999999999996,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
24,1712902823.121406,54.8,20.0,4.289,109.0,6,0,4,1,4,0.0,600.0,600.0,131.0,116.6,114.6,0.0,0.0,0,233,3,0.0,0.0,0,0.0,0,1.48,750.0,2060.0,12.91,176.4,111.3,6.7,5,224,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,11.440000057220459,4.288164665523157,495.086886,784.666008,1.0,4.0,3,0.0,109.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,54.79999999999999,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
25,1712902823.851406,58.1,20.0,4.289,111.0,6,0,4,1,4,0.0,600.0,600.0,131.0,116.6,114.6,0.0,0.0,0,233,3,0.0,0.0,0,0.0,0,1.48,750.0,2060.0,12.91,176.4,111.3,6.7,5,224,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,12.170000076293945,4.288164665523157,495.086886,784.666008,1.0,4.0,3,0.0,111.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,58.099999999999994,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
26,1712902824.271406,59.9,20.0,4.289,111.0,6,0,4,1,4,0.0,600.0,600.0,131.0,116.6,114.6,0.0,0.0,0,233,3,0.0,0.0,0,0.0,0,1.48,750.0,2060.0,12.91,176.4,111.3,6.7,5,224,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,12.589999914169312,4.288164665523157,495.086886,784.666008,1.0,4.0,3,0.0,111.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,59.89999999999999,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
27,1712902824.631406,61.3,20.0,4.289,112.0,6,0,4,1,4,0.0,600.0,600.0,131.0,116.6,114.6,0.0,0.0,0,233,3,0.0,0.0,0,0.0,0,1.48,750.0,2060.0,12.91,176.4,111.3,6.7,5,224,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,12.950000047683716,4.288164665523157,495.086886,784.666008,1.0,4.0,3,0.0,112.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,61.29999999999999,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
28,1712902825.071406,63.0,20.0,4.289,112.0,6,0,4,1,2,0.0,600.0,600.0,131.0,116.6,114.6,0.0,0.0,0,233,3,0.0,0.0,0,0.0,0,1.48,750.0,1910.0,12.91,176.4,111.3,6.7,5,224,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,13.389999866485596,4.288164665523157,495.086886,784.666008,1.0,4.0,3,0.0,112.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,62.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
29,1712902825.891406,66.6,21.0,4.283,113.0,6,0,4,1,3,0.0,600.0,600.0,131.0,116.8,114.6,0.0,0.0,0,233,3,0.0,0.0,0,0.0,0,1.48,750.0,1910.0,12.91,176.4,111.3,6.7,5,224,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,14.210000038146973,4.280821917808219,495.086886,784.666008,1.0,4.0,4,0.0,113.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,66.6,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
