index,TimeStamp (sec), Horizontal (meters), Stroke500mPace (sec/500m), Power (watts),Cals, Cadence (stokes/min), HRCur (bpm),DutyCycle,Rowfile_Id, lapIdx, ElapsedTime (sec), DriveLength (meters), StrokeDistance (meters), DriveTime (ms), DragFactor, StrokeRecoveryTime (ms), AverageDriveForce (lbs), AverageBoatSpeed (m/s), PeakDriveForce (lbs), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), WorkoutState, Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
42,1452626706.259,465.4927,122.1955,191.8237,29.89591,22.0,140.0,0.3333333,,0.0,115.38100004196167,0.0,0.0,0.0,0.0,0.0,0.0,4.09180370799252,0.0,0.0,0.0,1.0,4.0,42,523.1555454545455,140.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,465.49270000000007,0.0,0.0,191.8237,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
43,1452626708.965,476.5522,122.26575000000001,191.4933,30.61553,22.0,141.0,0.3333333,,0.0,118.08699989318848,0.0,0.0,0.0,0.0,0.0,0.0,4.089452688099488,0.0,0.0,0.0,1.0,4.0,43,522.2544545454546,141.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,476.5522000000001,0.0,0.0,191.4933,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
44,1452626711.654,487.6109,122.04565000000001,192.5311,31.33985,23.0,141.0,0.3333333,,0.0,120.77600002288818,0.0,0.0,0.0,0.0,0.0,0.0,4.096827703404423,0.0,0.0,0.0,1.0,4.0,44,502.25504347826086,141.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,487.6109000000001,0.0,0.0,192.5311,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
45,1452626714.363,498.7448,121.6695,194.3224,32.06839,22.0,141.0,0.3333333,,0.0,123.48499989509583,0.0,0.0,0.0,0.0,0.0,0.0,4.109493340566042,0.0,0.0,0.0,1.0,4.0,45,529.9701818181818,141.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,498.74480000000005,0.0,0.0,194.3224,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
46,1452626717.06,509.7309,122.25705,191.5343,32.78109,22.0,140.0,0.3333333,,0.0,126.1819999217987,0.0,0.0,0.0,0.0,0.0,0.0,4.0897436998520735,0.0,0.0,0.0,1.0,4.0,46,522.3662727272728,140.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,509.7309000000001,0.0,0.0,191.5343,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
47,1452626719.864,521.2975,121.5739,194.7812,33.54098,22.0,139.0,0.3333333,,0.0,128.98600006103516,0.0,0.0,0.0,0.0,0.0,0.0,4.1127248529495235,0.0,0.0,0.0,1.0,4.0,47,531.2214545454545,139.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,521.2975000000001,0.0,0.0,194.7812,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
48,1452626722.562,532.4301,121.15595,196.804,34.27257,22.0,139.0,0.3333333,,0.0,131.6840000152588,0.0,0.0,0.0,0.0,0.0,0.0,4.126912462821677,0.0,0.0,0.0,1.0,4.0,48,536.7381818181818,139.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,532.4301000000002,0.0,0.0,196.804,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
49,1452626725.254,543.4129,122.1703,191.9425,34.98611,22.0,139.0,0.3333333,,0.0,134.37599992752075,0.0,0.0,0.0,0.0,0.0,0.0,4.092647722073204,0.0,0.0,0.0,1.0,4.0,49,523.4795454545455,139.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,543.4129000000001,0.0,0.0,191.9425,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
50,1452626728.059,554.9024,122.3774,190.9698,35.73553,22.0,139.0,0.3333333,,0.0,137.18099999427795,0.0,0.0,0.0,0.0,0.0,0.0,4.085721710054307,0.0,0.0,0.0,1.0,4.0,50,520.8267272727272,139.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,554.9024000000001,0.0,0.0,190.9698,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
51,1452626730.76,566.038,121.09705,197.0913,36.46672,22.0,140.0,0.3333333,,0.0,139.88199996948242,0.0,0.0,0.0,0.0,0.0,0.0,4.128919738342098,0.0,0.0,0.0,1.0,4.0,51,537.5217272727273,140.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,566.0380000000001,0.0,0.0,197.0913,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
52,1452626733.562,577.671,120.83335000000001,198.3843,37.23593,22.0,141.0,0.3333333,,0.0,142.6840000152588,0.0,0.0,0.0,0.0,0.0,0.0,4.137930463733729,0.0,0.0,0.0,1.0,4.0,52,541.0480909090909,141.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,577.6710000000002,0.0,0.0,198.3843,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
53,1452626736.251,588.869,119.71755,203.9833,37.97892,22.0,141.0,0.3333333,,0.0,145.37299990653992,0.0,0.0,0.0,0.0,0.0,0.0,4.176497096708043,0.0,0.0,0.0,1.0,4.0,53,556.318090909091,141.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,588.8690000000001,0.0,0.0,0.0,203.9833,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
54,1452626738.96,600.0019,121.75745,193.9017,38.70767,22.0,142.0,0.3333333,,0.0,148.08200001716614,0.0,0.0,0.0,0.0,0.0,0.0,4.106524898476438,0.0,0.0,0.0,1.0,4.0,54,528.8228181818182,142.0,142.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,600.0019000000001,0.0,0.0,193.9017,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
55,1452626741.759,611.4893,121.9502,192.9837,39.45851,22.0,142.0,0.3333333,,0.0,150.88100004196167,0.0,0.0,0.0,0.0,0.0,0.0,4.10003427628655,0.0,0.0,0.0,1.0,4.0,55,526.3191818181818,142.0,142.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,611.4893000000001,0.0,0.0,192.9837,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
56,1452626744.558,622.9738,121.8021,193.6886,40.20897,21.0,143.0,0.3333333,,0.0,153.6800000667572,0.0,0.0,0.0,0.0,0.0,0.0,4.105019535787971,0.0,0.0,0.0,1.0,4.0,56,553.3960000000001,0.0,143.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,622.9738000000001,0.0,0.0,193.6886,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
57,1452626747.258,634.2414,119.8918,203.0951,40.95802,22.0,143.0,0.3333333,,0.0,156.37999987602234,0.0,0.0,0.0,0.0,0.0,0.0,4.1704270016798475,0.0,0.0,0.0,1.0,4.0,57,553.8957272727273,0.0,143.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,634.2414000000001,0.0,0.0,203.0951,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
58,1452626750.055,645.733,121.3885,195.6751,41.7102,21.0,143.0,0.3333333,,0.0,159.17700004577637,0.0,0.0,0.0,0.0,0.0,0.0,4.119006330912731,0.0,0.0,0.0,1.0,4.0,58,559.0717142857143,0.0,143.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,645.7330000000001,0.0,0.0,195.6751,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
59,1452626752.863,657.2205,122.13335000000001,192.1166,42.45867,21.0,143.0,0.3333333,,0.0,161.98499989509583,0.0,0.0,0.0,0.0,0.0,0.0,4.093885904218626,0.0,0.0,0.0,1.0,4.0,59,548.9045714285714,0.0,143.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,657.2205000000001,0.0,0.0,192.1166,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
